#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;01/01/2000
#Version;01.002-02.430-03.730
#Serial No.;100329

#Mode;Unlimited
#Logging Interval[s];0.1
#Specified Logging Count;-----
#Specified Logging Time[s];-----

#Start Time;00:01:39
#Stop Time;00:09:00

#Actual Count;4419

URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp;Time
237.43;1.123;1.44E+02;49.971;300;20;2.67E+02;2.25E+02;0.54;1.86;03:28.1;109.1
237.43;1.031;1.32E+02;49.971;300;20;2.45E+02;2.06E+02;0.541;1.91;03:28.2;109.2
237.42;0.932;1.20E+02;49.97;300;20;2.21E+02;1.86E+02;0.541;1.84;03:28.3;109.3
237.47;0.89;1.14E+02;49.97;300;20;2.11E+02;1.78E+02;0.541;1.83;03:28.4;109.4
237.47;0.772;9.96E+01;49.968;300;20;1.83E+02;1.54E+02;0.543;1.87;03:28.5;109.5
237.5;0.766;9.89E+01;49.966;300;20;1.82E+02;1.53E+02;0.544;1.83;03:28.6;109.6
237.51;0.798;1.03E+02;49.966;300;20;1.90E+02;1.59E+02;0.542;1.88;03:28.7;109.7
237.49;0.89;1.15E+02;49.965;300;20;2.11E+02;1.78E+02;0.542;1.86;03:28.8;109.8
237.47;1.075;1.38E+02;49.964;300;20;2.55E+02;2.15E+02;0.54;1.84;03:28.9;109.9
237.44;1.2;1.54E+02;49.963;300;20;2.85E+02;2.40E+02;0.54;1.88;03:29.0;110
237.46;1.265;1.63E+02;49.962;300;20;3.00E+02;2.53E+02;0.542;1.88;03:29.1;110.1
237.43;1.241;1.59E+02;49.962;300;20;2.95E+02;2.48E+02;0.541;1.9;03:29.2;110.2
237.44;1.272;1.64E+02;49.963;300;20;3.02E+02;2.54E+02;0.542;1.91;03:29.3;110.3
237.41;1.242;1.60E+02;49.962;300;20;2.95E+02;2.48E+02;0.541;1.87;03:29.4;110.4
237.42;1.258;1.62E+02;49.963;300;20;2.99E+02;2.51E+02;0.541;1.91;03:29.5;110.5
237.42;1.266;1.63E+02;49.961;300;20;3.01E+02;2.53E+02;0.542;1.87;03:29.6;110.6
237.44;1.253;1.61E+02;49.96;300;20;2.98E+02;2.50E+02;0.541;1.91;03:29.7;110.7
237.45;1.254;1.61E+02;49.961;300;20;2.98E+02;2.50E+02;0.542;1.9;03:29.8;110.8
237.42;1.253;1.61E+02;49.962;300;20;2.98E+02;2.50E+02;0.541;1.86;03:29.9;110.9
237.42;1.257;1.61E+02;49.963;300;20;2.98E+02;2.51E+02;0.54;1.92;03:30.0;111
237.44;1.261;1.62E+02;49.962;300;20;2.99E+02;2.52E+02;0.54;1.88;03:30.1;111.1
237.4;1.243;1.59E+02;49.963;300;20;2.95E+02;2.48E+02;0.54;1.9;03:30.2;111.2
237.41;1.246;1.60E+02;49.961;300;20;2.96E+02;2.49E+02;0.541;1.91;03:30.3;111.3
237.48;1.283;1.65E+02;49.96;300;20;3.05E+02;2.56E+02;0.541;1.89;03:30.4;111.4
237.47;1.261;1.62E+02;49.96;300;20;3.00E+02;2.52E+02;0.54;1.93;03:30.5;111.5
237.44;1.242;1.59E+02;49.96;300;20;2.95E+02;2.48E+02;0.541;1.87;03:30.6;111.6
237.49;1.167;1.50E+02;49.961;300;20;2.77E+02;2.33E+02;0.541;1.88;03:30.7;111.7
237.48;1.118;1.44E+02;49.96;300;20;2.66E+02;2.23E+02;0.54;1.88;03:30.8;111.8
237.55;1.007;1.29E+02;49.96;300;20;2.39E+02;2.01E+02;0.54;1.86;03:30.9;111.9
237.49;0.939;1.21E+02;49.959;300;20;2.23E+02;1.88E+02;0.54;1.88;03:31.0;112
237.49;0.903;1.16E+02;49.958;300;20;2.15E+02;1.80E+02;0.542;1.85;03:31.1;112.1
237.51;0.859;1.11E+02;49.958;300;20;2.04E+02;1.71E+02;0.542;1.83;03:31.2;112.2
237.57;0.787;1.02E+02;49.959;300;20;1.87E+02;1.57E+02;0.545;1.88;03:31.3;112.3
237.55;0.77;9.93E+01;49.96;300;20;1.83E+02;1.54E+02;0.543;1.81;03:31.4;112.4
237.5;0.751;9.68E+01;49.96;300;20;1.79E+02;1.50E+02;0.543;1.85;03:31.5;112.5
237.5;0.751;9.69E+01;49.96;300;20;1.78E+02;1.50E+02;0.544;1.84;03:31.6;112.6
237.53;0.746;9.64E+01;49.96;300;20;1.77E+02;1.49E+02;0.544;1.81;03:31.7;112.7
237.53;0.75;9.68E+01;49.96;300;20;1.78E+02;1.50E+02;0.543;1.86;03:31.8;112.8
237.53;0.756;9.75E+01;49.961;300;20;1.80E+02;1.51E+02;0.543;1.81;03:31.9;112.9
237.54;0.739;9.54E+01;49.962;300;20;1.76E+02;1.47E+02;0.543;1.87;03:32.0;113
237.57;0.758;9.78E+01;49.963;300;20;1.80E+02;1.51E+02;0.543;1.85;03:32.1;113.1
237.56;0.744;9.59E+01;49.963;300;20;1.77E+02;1.48E+02;0.543;1.82;03:32.2;113.2
237.47;0.731;9.40E+01;49.961;300;20;1.74E+02;1.46E+02;0.542;1.85;03:32.3;113.3
237.52;0.768;9.91E+01;49.962;300;20;1.83E+02;1.53E+02;0.543;1.82;03:32.4;113.4
237.5;0.765;9.84E+01;49.964;300;20;1.82E+02;1.53E+02;0.542;1.84;03:32.5;113.5
237.52;0.862;1.11E+02;49.965;300;20;2.05E+02;1.72E+02;0.541;1.84;03:32.6;113.6
237.51;0.98;1.26E+02;49.964;300;20;2.33E+02;1.96E+02;0.54;1.83;03:32.7;113.7
237.46;1.095;1.40E+02;49.965;300;20;2.60E+02;2.19E+02;0.539;1.9;03:32.8;113.8
237.47;1.245;1.60E+02;49.964;300;20;2.96E+02;2.49E+02;0.541;1.86;03:32.9;113.9
237.43;1.22;1.57E+02;49.965;300;20;2.90E+02;2.44E+02;0.541;1.87;03:33.0;114
237.42;1.228;1.58E+02;49.965;300;20;2.92E+02;2.45E+02;0.541;1.9;03:33.1;114.1
237.47;1.249;1.60E+02;49.965;300;20;2.97E+02;2.49E+02;0.541;1.87;03:33.2;114.2
237.44;1.232;1.58E+02;49.965;300;20;2.93E+02;2.46E+02;0.541;1.89;03:33.3;114.3
237.46;1.251;1.61E+02;49.964;300;20;2.97E+02;2.50E+02;0.541;1.88;03:33.4;114.4
237.44;1.208;1.55E+02;49.964;300;20;2.87E+02;2.41E+02;0.54;1.86;03:33.5;114.5
237.34;1.237;1.59E+02;49.964;300;20;2.94E+02;2.47E+02;0.54;1.92;03:33.6;114.6
237.45;1.22;1.56E+02;49.964;300;20;2.90E+02;2.44E+02;0.54;1.87;03:33.7;114.7
237.41;1.227;1.57E+02;49.963;300;20;2.91E+02;2.45E+02;0.54;1.9;03:33.8;114.8
237.45;1.243;1.60E+02;49.963;300;20;2.95E+02;2.48E+02;0.541;1.89;03:33.9;114.9
237.41;1.227;1.57E+02;49.961;300;20;2.91E+02;2.45E+02;0.54;1.85;03:34.0;115
237.36;1.237;1.59E+02;49.961;300;20;2.94E+02;2.47E+02;0.54;1.89;03:34.1;115.1
237.38;1.241;1.59E+02;49.961;300;20;2.95E+02;2.48E+02;0.54;1.86;03:34.2;115.2
237.31;1.214;1.55E+02;49.961;300;20;2.88E+02;2.43E+02;0.539;1.91;03:34.3;115.3
237.37;1.255;1.61E+02;49.961;300;20;2.98E+02;2.51E+02;0.541;1.89;03:34.4;115.4
237.35;1.237;1.58E+02;49.961;300;20;2.94E+02;2.47E+02;0.539;1.86;03:34.5;115.5
237.33;1.234;1.58E+02;49.96;300;20;2.93E+02;2.47E+02;0.54;1.93;03:34.6;115.6
237.38;1.243;1.59E+02;49.96;300;20;2.95E+02;2.48E+02;0.54;1.84;03:34.7;115.7
237.37;1.054;1.35E+02;49.96;300;20;2.50E+02;2.11E+02;0.54;1.85;03:34.8;115.8
237.45;0.802;1.04E+02;49.962;300;20;1.90E+02;1.60E+02;0.543;1.84;03:34.9;115.9
237.42;0.765;9.87E+01;49.961;300;20;1.82E+02;1.53E+02;0.543;1.8;03:35.0;116
237.38;0.889;1.14E+02;49.96;300;20;2.11E+02;1.78E+02;0.539;1.88;03:35.1;116.1
237.35;1.114;1.42E+02;49.959;300;20;2.64E+02;2.23E+02;0.539;1.84;03:35.2;116.2
237.28;1.226;1.57E+02;49.959;300;20;2.91E+02;2.45E+02;0.539;1.84;03:35.3;116.3
237.28;1.26;1.62E+02;49.958;300;20;2.99E+02;2.52E+02;0.54;1.89;03:35.4;116.4
237.36;1.247;1.60E+02;49.957;300;20;2.96E+02;2.49E+02;0.541;1.87;03:35.5;116.5
237.33;1.25;1.60E+02;49.957;300;20;2.97E+02;2.50E+02;0.539;1.88;03:35.6;116.6
237.34;1.253;1.61E+02;49.956;300;20;2.97E+02;2.50E+02;0.54;1.86;03:35.7;116.7
237.37;1.27;1.63E+02;49.954;300;20;3.01E+02;2.54E+02;0.54;1.85;03:35.8;116.8
237.39;1.241;1.59E+02;49.951;300;20;2.95E+02;2.48E+02;0.54;1.89;03:35.9;116.9
237.38;1.261;1.62E+02;49.951;300;20;2.99E+02;2.52E+02;0.54;1.85;03:36.0;117
237.38;1.245;1.60E+02;49.951;300;20;2.95E+02;2.49E+02;0.54;1.88;03:36.1;117.1
237.38;1.261;1.62E+02;49.952;300;20;2.99E+02;2.52E+02;0.54;1.87;03:36.2;117.2
237.39;1.241;1.59E+02;49.95;300;20;2.95E+02;2.48E+02;0.541;1.86;03:36.3;117.3
237.4;1.259;1.62E+02;49.949;300;20;2.99E+02;2.52E+02;0.54;1.9;03:36.4;117.4
237.43;1.246;1.60E+02;49.949;300;20;2.96E+02;2.49E+02;0.54;1.86;03:36.5;117.5
237.4;1.243;1.59E+02;49.948;300;20;2.95E+02;2.48E+02;0.54;1.89;03:36.6;117.6
237.44;1.268;1.63E+02;49.947;300;20;3.01E+02;2.53E+02;0.541;1.88;03:36.7;117.7
237.44;1.244;1.60E+02;49.948;300;20;2.96E+02;2.49E+02;0.54;1.83;03:36.8;117.8
237.4;1.251;1.61E+02;49.948;300;20;2.97E+02;2.50E+02;0.54;1.89;03:36.9;117.9
237.41;1.25;1.60E+02;49.949;300;20;2.97E+02;2.50E+02;0.54;1.84;03:37.0;118
237.43;1.209;1.55E+02;49.948;300;20;2.87E+02;2.42E+02;0.54;1.86;03:37.1;118.1
237.41;1.077;1.38E+02;49.947;300;20;2.56E+02;2.15E+02;0.541;1.85;03:37.2;118.2
237.49;0.877;1.13E+02;49.949;300;20;2.08E+02;1.75E+02;0.541;1.84;03:37.3;118.3
237.45;0.789;1.02E+02;49.95;300;20;1.87E+02;1.58E+02;0.542;1.88;03:37.4;118.4
237.47;0.789;1.02E+02;49.95;300;20;1.87E+02;1.58E+02;0.542;1.81;03:37.5;118.5
237.49;0.76;9.78E+01;49.95;300;20;1.81E+02;1.52E+02;0.542;1.82;03:37.6;118.6
237.42;0.753;9.69E+01;49.95;300;20;1.79E+02;1.50E+02;0.542;1.84;03:37.7;118.7
237.45;0.752;9.69E+01;49.95;300;20;1.79E+02;1.50E+02;0.542;1.81;03:37.8;118.8
237.43;0.735;9.46E+01;49.95;300;20;1.75E+02;1.47E+02;0.542;1.84;03:37.9;118.9
237.44;0.759;9.77E+01;49.95;300;20;1.80E+02;1.51E+02;0.542;1.82;03:38.0;119
237.41;0.738;9.50E+01;49.951;300;20;1.75E+02;1.47E+02;0.542;1.8;03:38.1;119.1
237.43;0.752;9.69E+01;49.951;300;20;1.79E+02;1.50E+02;0.543;1.85;03:38.2;119.2
237.39;0.735;9.47E+01;49.95;300;20;1.75E+02;1.47E+02;0.543;1.82;03:38.3;119.3
237.45;0.761;9.82E+01;49.949;300;20;1.81E+02;1.52E+02;0.543;1.84;03:38.4;119.4
237.46;0.75;9.69E+01;49.95;300;20;1.78E+02;1.50E+02;0.544;1.82;03:38.5;119.5
237.43;0.826;1.06E+02;49.951;300;20;1.96E+02;1.65E+02;0.541;1.81;03:38.6;119.6
237.44;1.004;1.29E+02;49.952;300;20;2.38E+02;2.01E+02;0.54;1.87;03:38.7;119.7
237.36;1.2;1.54E+02;49.953;300;20;2.85E+02;2.40E+02;0.54;1.83;03:38.8;119.8
237.4;1.203;1.54E+02;49.954;300;20;2.86E+02;2.40E+02;0.54;1.87;03:38.9;119.9
237.41;1.232;1.58E+02;49.954;300;20;2.93E+02;2.46E+02;0.54;1.86;03:39.0;120
237.42;1.232;1.58E+02;49.954;300;20;2.92E+02;2.46E+02;0.54;1.84;03:39.1;120.1
237.41;1.22;1.56E+02;49.955;300;20;2.90E+02;2.44E+02;0.539;1.89;03:39.2;120.2
237.42;1.233;1.58E+02;49.956;300;20;2.93E+02;2.46E+02;0.54;1.85;03:39.3;120.3
237.37;1.22;1.56E+02;49.957;300;20;2.90E+02;2.44E+02;0.538;1.82;03:39.4;120.4
237.37;1.238;1.59E+02;49.958;300;20;2.94E+02;2.48E+02;0.54;1.85;03:39.5;120.5
237.34;1.226;1.57E+02;49.957;300;20;2.91E+02;2.45E+02;0.54;1.83;03:39.6;120.6
237.32;1.232;1.58E+02;49.956;300;20;2.92E+02;2.46E+02;0.539;1.89;03:39.7;120.7
237.39;1.237;1.59E+02;49.956;300;20;2.94E+02;2.47E+02;0.54;1.82;03:39.8;120.8
237.44;1.237;1.59E+02;49.956;300;20;2.94E+02;2.47E+02;0.54;1.83;03:39.9;120.9
237.4;1.223;1.57E+02;49.957;300;20;2.90E+02;2.44E+02;0.54;1.88;03:40.0;121
237.43;1.239;1.59E+02;49.957;300;20;2.94E+02;2.48E+02;0.539;1.85;03:40.1;121.1
237.41;1.217;1.56E+02;49.958;300;20;2.89E+02;2.43E+02;0.539;1.85;03:40.2;121.2
237.37;1.228;1.57E+02;49.959;300;20;2.92E+02;2.45E+02;0.539;1.86;03:40.3;121.3
237.42;1.25;1.61E+02;49.958;300;20;2.97E+02;2.50E+02;0.541;1.84;03:40.4;121.4
237.45;1.246;1.60E+02;49.959;300;20;2.96E+02;2.49E+02;0.54;1.88;03:40.5;121.5
237.47;1.243;1.59E+02;49.96;300;20;2.95E+02;2.49E+02;0.54;1.83;03:40.6;121.6
237.46;1.217;1.56E+02;49.961;300;20;2.89E+02;2.43E+02;0.539;1.88;03:40.7;121.7
237.48;1.091;1.40E+02;49.962;300;20;2.59E+02;2.18E+02;0.539;1.83;03:40.8;121.8
237.56;0.769;9.91E+01;49.962;300;20;1.83E+02;1.54E+02;0.542;1.82;03:40.9;121.9
237.51;0.936;1.19E+02;49.963;300;20;2.22E+02;1.88E+02;0.535;1.86;03:41.0;122
237.47;1.22;1.56E+02;49.964;300;20;2.90E+02;2.44E+02;0.539;1.85;03:41.1;122.1
237.46;1.237;1.58E+02;49.964;300;20;2.94E+02;2.48E+02;0.539;1.89;03:41.2;122.2
237.46;1.233;1.58E+02;49.964;300;20;2.93E+02;2.47E+02;0.54;1.87;03:41.3;122.3
237.5;1.246;1.60E+02;49.966;300;20;2.96E+02;2.49E+02;0.541;1.84;03:41.4;122.4
237.5;1.229;1.58E+02;49.966;300;20;2.92E+02;2.46E+02;0.54;1.9;03:41.5;122.5
237.48;1.253;1.61E+02;49.966;300;20;2.98E+02;2.51E+02;0.54;1.86;03:41.6;122.6
237.45;1.22;1.56E+02;49.965;300;20;2.90E+02;2.44E+02;0.539;1.88;03:41.7;122.7
237.51;1.252;1.61E+02;49.965;300;20;2.97E+02;2.50E+02;0.541;1.88;03:41.8;122.8
237.54;1.254;1.61E+02;49.966;300;20;2.98E+02;2.50E+02;0.541;1.87;03:41.9;122.9
237.51;1.229;1.58E+02;49.966;300;20;2.92E+02;2.46E+02;0.54;1.91;03:42.0;123
237.51;1.247;1.60E+02;49.966;300;20;2.96E+02;2.49E+02;0.542;1.88;03:42.1;123.1
237.51;1.229;1.58E+02;49.967;300;20;2.92E+02;2.46E+02;0.541;1.86;03:42.2;123.2
237.48;1.248;1.60E+02;49.969;300;20;2.96E+02;2.49E+02;0.541;1.89;03:42.3;123.3
237.5;1.238;1.59E+02;49.968;300;20;2.94E+02;2.47E+02;0.541;1.86;03:42.4;123.4
237.5;1.255;1.61E+02;49.967;300;20;2.98E+02;2.51E+02;0.541;1.9;03:42.5;123.5
237.5;1.241;1.60E+02;49.968;300;20;2.95E+02;2.48E+02;0.541;1.88;03:42.6;123.6
237.47;1.24;1.59E+02;49.97;300;20;2.95E+02;2.48E+02;0.54;1.87;03:42.7;123.7
237.45;1.236;1.59E+02;49.97;300;20;2.94E+02;2.47E+02;0.541;1.92;03:42.8;123.8
237.44;1.242;1.59E+02;49.97;300;20;2.95E+02;2.48E+02;0.54;1.85;03:42.9;123.9
237.44;1.238;1.58E+02;49.97;300;20;2.94E+02;2.48E+02;0.539;1.91;03:43.0;124
237.49;1.106;1.41E+02;49.971;300;20;2.63E+02;2.21E+02;0.538;1.88;03:43.1;124.1
237.51;0.946;1.21E+02;49.97;300;20;2.25E+02;1.89E+02;0.54;1.83;03:43.2;124.2
237.52;0.785;1.01E+02;49.969;300;20;1.86E+02;1.57E+02;0.54;1.89;03:43.3;124.3
237.57;0.777;9.98E+01;49.97;300;20;1.85E+02;1.55E+02;0.541;1.83;03:43.4;124.4
237.55;0.739;9.49E+01;49.971;300;20;1.76E+02;1.48E+02;0.54;1.87;03:43.5;124.5
237.51;0.754;9.67E+01;49.971;300;20;1.79E+02;1.51E+02;0.54;1.85;03:43.6;124.6
237.53;0.743;9.54E+01;49.969;300;20;1.76E+02;1.48E+02;0.541;1.82;03:43.7;124.7
237.52;0.746;9.58E+01;49.971;300;20;1.77E+02;1.49E+02;0.541;1.88;03:43.8;124.8
237.54;0.745;9.58E+01;49.972;300;20;1.77E+02;1.49E+02;0.541;1.84;03:43.9;124.9
237.53;0.748;9.59E+01;49.972;300;20;1.78E+02;1.50E+02;0.54;1.83;03:44.0;125
237.45;0.744;9.56E+01;49.972;300;20;1.77E+02;1.49E+02;0.541;1.86;03:44.1;125.1
237.45;0.753;9.67E+01;49.972;300;20;1.79E+02;1.50E+02;0.541;1.8;03:44.2;125.2
237.4;0.726;9.32E+01;49.974;300;20;1.72E+02;1.45E+02;0.541;1.88;03:44.3;125.3
237.39;0.754;9.69E+01;49.974;300;20;1.79E+02;1.51E+02;0.541;1.81;03:44.4;125.4
237.33;1.174;1.50E+02;49.974;300;20;2.79E+02;2.35E+02;0.537;1.82;03:44.5;125.5
237.32;1.255;1.60E+02;49.975;300;20;2.98E+02;2.51E+02;0.538;1.84;03:44.6;125.6
237.35;1.248;1.60E+02;49.975;300;20;2.96E+02;2.50E+02;0.538;1.83;03:44.7;125.7
237.36;1.223;1.56E+02;49.974;300;20;2.90E+02;2.45E+02;0.538;1.86;03:44.8;125.8
237.37;1.249;1.60E+02;49.972;300;20;2.96E+02;2.50E+02;0.538;1.83;03:44.9;125.9
237.34;1.224;1.56E+02;49.973;300;20;2.90E+02;2.45E+02;0.537;1.84;03:45.0;126
237.31;1.232;1.57E+02;49.972;300;20;2.92E+02;2.46E+02;0.539;1.87;03:45.1;126.1
237.35;1.237;1.59E+02;49.972;300;20;2.94E+02;2.47E+02;0.54;1.83;03:45.2;126.2
237.32;1.234;1.58E+02;49.97;300;20;2.93E+02;2.47E+02;0.539;1.87;03:45.3;126.3
237.33;1.23;1.58E+02;49.97;300;20;2.92E+02;2.46E+02;0.539;1.85;03:45.4;126.4
237.3;1.229;1.57E+02;49.969;300;20;2.92E+02;2.46E+02;0.539;1.82;03:45.5;126.5
237.31;1.23;1.57E+02;49.968;300;20;2.92E+02;2.46E+02;0.539;1.86;03:45.6;126.6
237.34;1.243;1.59E+02;49.968;300;20;2.95E+02;2.48E+02;0.54;1.82;03:45.7;126.7
237.33;1.227;1.57E+02;49.969;300;20;2.91E+02;2.45E+02;0.539;1.86;03:45.8;126.8
237.36;1.236;1.58E+02;49.969;300;20;2.93E+02;2.47E+02;0.54;1.85;03:45.9;126.9
237.35;1.246;1.60E+02;49.97;300;20;2.96E+02;2.49E+02;0.539;1.81;03:46.0;127
237.33;1.248;1.60E+02;49.969;300;20;2.96E+02;2.49E+02;0.539;1.89;03:46.1;127.1
237.32;1.243;1.59E+02;49.97;300;20;2.95E+02;2.48E+02;0.539;1.82;03:46.2;127.2
237.29;1.217;1.56E+02;49.97;300;20;2.89E+02;2.43E+02;0.539;1.83;03:46.3;127.3
237.32;1.245;1.59E+02;49.97;300;20;2.95E+02;2.49E+02;0.539;1.84;03:46.4;127.4
237.37;1.22;1.56E+02;49.971;300;20;2.90E+02;2.44E+02;0.538;1.82;03:46.5;127.5
237.41;0.929;1.19E+02;49.97;300;20;2.21E+02;1.86E+02;0.539;1.86;03:46.6;127.6
237.43;0.781;1.01E+02;49.97;300;20;1.86E+02;1.56E+02;0.543;1.78;03:46.7;127.7
237.41;0.982;1.24E+02;49.969;300;20;2.33E+02;1.97E+02;0.534;1.81;03:46.8;127.8
237.35;1.246;1.59E+02;49.969;300;20;2.96E+02;2.49E+02;0.538;1.85;03:46.9;127.9
237.33;1.254;1.60E+02;49.969;300;20;2.98E+02;2.51E+02;0.538;1.81;03:47.0;128
237.34;1.253;1.60E+02;49.968;300;20;2.97E+02;2.51E+02;0.538;1.84;03:47.1;128.1
237.36;1.253;1.60E+02;49.967;300;20;2.97E+02;2.51E+02;0.538;1.83;03:47.2;128.2
237.34;1.226;1.57E+02;49.966;300;20;2.91E+02;2.45E+02;0.538;1.8;03:47.3;128.3
237.32;1.247;1.59E+02;49.965;300;20;2.96E+02;2.49E+02;0.538;1.85;03:47.4;128.4
237.33;1.266;1.62E+02;49.965;300;20;3.01E+02;2.53E+02;0.539;1.81;03:47.5;128.5
237.33;1.246;1.59E+02;49.964;300;20;2.96E+02;2.49E+02;0.539;1.87;03:47.6;128.6
237.32;1.249;1.60E+02;49.964;300;20;2.97E+02;2.50E+02;0.539;1.83;03:47.7;128.7
237.34;1.238;1.58E+02;49.965;300;20;2.94E+02;2.48E+02;0.539;1.8;03:47.8;128.8
237.3;1.243;1.59E+02;49.964;300;20;2.95E+02;2.49E+02;0.538;1.86;03:47.9;128.9
237.27;1.247;1.60E+02;49.963;300;20;2.96E+02;2.49E+02;0.539;1.81;03:48.0;129
237.19;1.237;1.58E+02;49.963;300;20;2.94E+02;2.48E+02;0.537;1.86;03:48.1;129.1
237.22;1.259;1.61E+02;49.963;300;20;2.99E+02;2.52E+02;0.539;1.84;03:48.2;129.2
237.19;1.254;1.60E+02;49.963;300;20;2.97E+02;2.51E+02;0.538;1.83;03:48.3;129.3
237.18;1.244;1.59E+02;49.962;300;20;2.95E+02;2.49E+02;0.538;1.89;03:48.4;129.4
237.22;1.258;1.61E+02;49.961;300;20;2.98E+02;2.52E+02;0.538;1.84;03:48.5;129.5
237.21;1.242;1.58E+02;49.96;300;20;2.95E+02;2.48E+02;0.537;1.84;03:48.6;129.6
237.21;1.246;1.59E+02;49.96;300;20;2.96E+02;2.49E+02;0.538;1.86;03:48.7;129.7
237.22;1.272;1.62E+02;49.96;300;20;3.02E+02;2.55E+02;0.538;1.83;03:48.8;129.8
237.33;0.912;1.16E+02;49.961;300;20;2.16E+02;1.82E+02;0.538;1.85;03:48.9;129.9
237.4;0.797;1.02E+02;49.96;300;20;1.89E+02;1.59E+02;0.54;1.81;03:49.0;130
237.42;0.763;9.78E+01;49.961;300;20;1.81E+02;1.53E+02;0.54;1.79;03:49.1;130.1
237.38;0.756;9.68E+01;49.96;300;20;1.80E+02;1.51E+02;0.539;1.84;03:49.2;130.2
237.43;0.744;9.53E+01;49.961;300;20;1.77E+02;1.49E+02;0.54;1.81;03:49.3;130.3
237.38;0.735;9.41E+01;49.961;300;20;1.75E+02;1.47E+02;0.539;1.82;03:49.4;130.4
237.38;0.746;9.58E+01;49.961;300;20;1.77E+02;1.49E+02;0.541;1.82;03:49.5;130.5
237.39;0.748;9.62E+01;49.961;300;20;1.78E+02;1.49E+02;0.541;1.82;03:49.6;130.6
237.44;0.745;9.60E+01;49.961;300;20;1.77E+02;1.49E+02;0.542;1.86;03:49.7;130.7
237.41;0.747;9.59E+01;49.959;300;20;1.77E+02;1.49E+02;0.54;1.8;03:49.8;130.8
237.4;0.737;9.47E+01;49.959;300;20;1.75E+02;1.47E+02;0.541;1.86;03:49.9;130.9
237.39;0.741;9.53E+01;49.958;300;20;1.76E+02;1.48E+02;0.542;1.82;03:50.0;131
237.36;0.853;1.09E+02;49.957;300;20;2.02E+02;1.71E+02;0.536;1.8;03:50.1;131.1
237.3;1.193;1.52E+02;49.958;300;20;2.83E+02;2.39E+02;0.536;1.86;03:50.2;131.2
237.25;1.245;1.59E+02;49.958;300;20;2.95E+02;2.49E+02;0.538;1.84;03:50.3;131.3
237.31;1.234;1.58E+02;49.957;300;20;2.93E+02;2.47E+02;0.539;1.87;03:50.4;131.4
237.3;1.244;1.59E+02;49.958;300;20;2.95E+02;2.49E+02;0.539;1.84;03:50.5;131.5
237.36;1.238;1.58E+02;49.958;300;20;2.94E+02;2.48E+02;0.538;1.82;03:50.6;131.6
237.35;1.225;1.56E+02;49.958;300;20;2.91E+02;2.45E+02;0.537;1.9;03:50.7;131.7
237.36;1.242;1.59E+02;49.957;300;20;2.95E+02;2.48E+02;0.539;1.84;03:50.8;131.8
237.37;1.232;1.57E+02;49.957;300;20;2.92E+02;2.46E+02;0.538;1.83;03:50.9;131.9
237.36;1.236;1.58E+02;49.956;300;20;2.93E+02;2.47E+02;0.539;1.86;03:51.0;132
237.37;1.238;1.58E+02;49.955;300;20;2.94E+02;2.48E+02;0.538;1.84;03:51.1;132.1
237.37;1.23;1.57E+02;49.955;300;20;2.92E+02;2.46E+02;0.538;1.88;03:51.2;132.2
237.35;1.233;1.58E+02;49.955;300;20;2.93E+02;2.47E+02;0.539;1.84;03:51.3;132.3
237.32;1.233;1.58E+02;49.956;300;20;2.93E+02;2.46E+02;0.539;1.85;03:51.4;132.4
237.33;1.221;1.56E+02;49.956;300;20;2.90E+02;2.44E+02;0.539;1.9;03:51.5;132.5
237.33;1.238;1.58E+02;49.955;300;20;2.94E+02;2.48E+02;0.539;1.85;03:51.6;132.6
237.37;1.236;1.58E+02;49.955;300;20;2.93E+02;2.47E+02;0.539;1.89;03:51.7;132.7
237.36;1.254;1.60E+02;49.956;300;20;2.98E+02;2.51E+02;0.539;1.86;03:51.8;132.8
237.42;1.23;1.58E+02;49.958;300;20;2.92E+02;2.46E+02;0.54;1.85;03:51.9;132.9
237.35;1.23;1.57E+02;49.96;300;20;2.92E+02;2.46E+02;0.538;1.91;03:52.0;133
237.38;1.25;1.60E+02;49.959;300;20;2.97E+02;2.50E+02;0.539;1.84;03:52.1;133.1
237.33;1.225;1.57E+02;49.958;300;20;2.91E+02;2.45E+02;0.538;1.85;03:52.2;133.2
237.34;0.984;1.26E+02;49.958;300;20;2.34E+02;1.97E+02;0.537;1.86;03:52.3;133.3
237.45;0.793;1.02E+02;49.958;300;20;1.88E+02;1.58E+02;0.542;1.81;03:52.4;133.4
237.39;1.087;1.37E+02;49.957;300;20;2.58E+02;2.19E+02;0.532;1.92;03:52.5;133.5
237.4;1.257;1.61E+02;49.958;300;20;2.98E+02;2.52E+02;0.538;1.83;03:52.6;133.6
237.41;1.24;1.59E+02;49.957;300;20;2.94E+02;2.48E+02;0.539;1.84;03:52.7;133.7
237.37;1.235;1.58E+02;49.958;300;20;2.93E+02;2.47E+02;0.539;1.87;03:52.8;133.8
237.42;1.26;1.61E+02;49.957;300;20;2.99E+02;2.52E+02;0.539;1.84;03:52.9;133.9
237.34;1.237;1.58E+02;49.956;300;20;2.94E+02;2.47E+02;0.539;1.85;03:53.0;134
237.37;1.254;1.61E+02;49.957;300;20;2.98E+02;2.51E+02;0.539;1.86;03:53.1;134.1
