#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329

#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----

#Start Time;00:37:39
#Stop Time;00:45:15

#Actual Count;4562        

URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
237.68;0.933;0.1190E+03;50.031;300;20;0.2217E+03;0.1870E+03;0.537;1.74;00:37:44.300
237.65;0.947;0.1210E+03;50.030;300;20;0.2251E+03;0.1898E+03;0.538;1.80;00:37:44.400
237.72;0.933;0.1194E+03;50.029;300;20;0.2218E+03;0.1869E+03;0.538;1.74;00:37:44.500
237.72;0.932;0.1191E+03;50.027;300;20;0.2216E+03;0.1868E+03;0.538;1.79;00:37:44.600
237.74;0.942;0.1206E+03;50.027;300;20;0.2239E+03;0.1887E+03;0.539;1.75;00:37:44.700
237.74;0.944;0.1208E+03;50.024;300;20;0.2245E+03;0.1893E+03;0.538;1.75;00:37:44.800
237.78;0.930;0.1191E+03;50.023;300;20;0.2211E+03;0.1863E+03;0.539;1.77;00:37:44.900
237.75;0.941;0.1203E+03;50.022;300;20;0.2237E+03;0.1886E+03;0.538;1.74;00:37:45.000
237.74;0.928;0.1187E+03;50.023;300;20;0.2207E+03;0.1860E+03;0.538;1.80;00:37:45.100
237.77;0.951;0.1217E+03;50.022;300;20;0.2261E+03;0.1906E+03;0.538;1.75;00:37:45.200
237.76;0.938;0.1199E+03;50.022;300;20;0.2231E+03;0.1881E+03;0.538;1.77;00:37:45.300
237.73;0.951;0.1214E+03;50.021;300;20;0.2262E+03;0.1908E+03;0.537;1.76;00:37:45.400
237.74;0.935;0.1194E+03;50.022;300;20;0.2222E+03;0.1874E+03;0.537;1.75;00:37:45.500
237.74;0.943;0.1204E+03;50.024;300;20;0.2241E+03;0.1891E+03;0.537;1.79;00:37:45.600
237.76;0.949;0.1213E+03;50.024;300;20;0.2257E+03;0.1904E+03;0.537;1.75;00:37:45.700
237.77;0.946;0.1211E+03;50.026;300;20;0.2250E+03;0.1896E+03;0.538;1.82;00:37:45.800
237.77;0.955;0.1221E+03;50.026;300;20;0.2270E+03;0.1913E+03;0.538;1.76;00:37:45.900
237.75;0.925;0.1183E+03;50.028;300;20;0.2199E+03;0.1854E+03;0.538;1.80;00:37:46.000
237.75;0.949;0.1212E+03;50.028;300;20;0.2256E+03;0.1902E+03;0.537;1.76;00:37:46.100
237.74;0.928;0.1186E+03;50.028;300;20;0.2207E+03;0.1862E+03;0.537;1.74;00:37:46.200
237.72;0.948;0.1211E+03;50.028;300;20;0.2252E+03;0.1899E+03;0.538;1.79;00:37:46.300
237.72;0.943;0.1206E+03;50.030;300;20;0.2243E+03;0.1890E+03;0.538;1.75;00:37:46.400
237.73;0.924;0.1180E+03;50.028;300;20;0.2198E+03;0.1854E+03;0.537;1.81;00:37:46.500
237.76;0.937;0.1200E+03;50.028;300;20;0.2229E+03;0.1878E+03;0.538;1.75;00:37:46.600
237.72;0.932;0.1189E+03;50.026;300;20;0.2216E+03;0.1870E+03;0.536;1.79;00:37:46.700
237.73;0.948;0.1211E+03;50.025;300;20;0.2254E+03;0.1901E+03;0.537;1.79;00:37:46.800
237.72;0.934;0.1194E+03;50.025;300;20;0.2221E+03;0.1873E+03;0.538;1.76;00:37:46.900
237.63;0.944;0.1205E+03;50.024;300;20;0.2244E+03;0.1893E+03;0.537;1.81;00:37:47.000
