#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329
#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Start Time;00:45:47
#Stop Time;00:53:00
#Actual Count;4334        
URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
237.96;0.737;0.0947E+03;50.023;300;20;0.1754E+03;0.1477E+03;0.540;1.72;00:45:47.000
237.96;0.753;0.0968E+03;50.023;300;20;0.1792E+03;0.1508E+03;0.540;1.70;00:45:47.100
237.96;0.732;0.0941E+03;50.023;300;20;0.1743E+03;0.1467E+03;0.540;1.73;00:45:47.200
237.93;0.738;0.0951E+03;50.025;300;20;0.1757E+03;0.1478E+03;0.541;1.74;00:45:47.300
237.95;0.732;0.0943E+03;50.025;300;20;0.1741E+03;0.1464E+03;0.541;1.75;00:45:47.400
237.93;0.750;0.0964E+03;50.025;300;20;0.1784E+03;0.1501E+03;0.541;1.72;00:45:47.500
237.92;0.740;0.0953E+03;50.027;300;20;0.1761E+03;0.1480E+03;0.542;1.73;00:45:47.600
237.95;0.736;0.0949E+03;50.028;300;20;0.1751E+03;0.1471E+03;0.542;1.74;00:45:47.700
237.91;0.735;0.0947E+03;50.026;300;20;0.1748E+03;0.1469E+03;0.542;1.73;00:45:47.800
237.85;0.724;0.0930E+03;50.027;300;20;0.1722E+03;0.1449E+03;0.540;1.73;00:45:47.900
237.85;0.759;0.0977E+03;50.026;300;20;0.1806E+03;0.1519E+03;0.541;1.71;00:45:48.000
237.90;0.734;0.0947E+03;50.025;300;20;0.1747E+03;0.1469E+03;0.542;1.72;00:45:48.100
237.84;0.743;0.0957E+03;50.026;300;20;0.1768E+03;0.1487E+03;0.541;1.73;00:45:48.200
237.79;0.730;0.0939E+03;50.025;300;20;0.1736E+03;0.1460E+03;0.541;1.72;00:45:48.300
237.81;0.751;0.0967E+03;50.023;300;20;0.1787E+03;0.1502E+03;0.541;1.73;00:45:48.400
237.82;0.736;0.0949E+03;50.023;300;20;0.1750E+03;0.1471E+03;0.542;1.71;00:45:48.500
237.82;0.753;0.0968E+03;50.021;300;20;0.1790E+03;0.1506E+03;0.541;1.74;00:45:48.600
237.85;0.735;0.0949E+03;50.022;300;20;0.1749E+03;0.1469E+03;0.543;1.74;00:45:48.700
237.84;0.742;0.0956E+03;50.023;300;20;0.1764E+03;0.1482E+03;0.542;1.74;00:45:48.800
237.78;0.733;0.0943E+03;50.022;300;20;0.1742E+03;0.1465E+03;0.541;1.71;00:45:48.900
237.79;0.748;0.0963E+03;50.023;300;20;0.1780E+03;0.1497E+03;0.541;1.72;00:45:49.000
237.79;0.744;0.0960E+03;50.023;300;20;0.1769E+03;0.1486E+03;0.543;1.72;00:45:49.100
237.80;0.737;0.0951E+03;50.023;300;20;0.1754E+03;0.1474E+03;0.542;1.72;00:45:49.200
237.79;0.748;0.0965E+03;50.023;300;20;0.1779E+03;0.1495E+03;0.542;1.72;00:45:49.300
237.76;0.738;0.0950E+03;50.023;300;20;0.1755E+03;0.1476E+03;0.541;1.72;00:45:49.400
237.77;0.751;0.0968E+03;50.022;300;20;0.1786E+03;0.1501E+03;0.542;1.72;00:45:49.500
237.77;0.736;0.0949E+03;50.022;300;20;0.1751E+03;0.1471E+03;0.542;1.73;00:45:49.600
237.78;0.750;0.0966E+03;50.022;300;20;0.1783E+03;0.1498E+03;0.542;1.71;00:45:49.700
237.76;0.734;0.0946E+03;50.021;300;20;0.1746E+03;0.1467E+03;0.542;1.72;00:45:49.800
237.72;0.742;0.0952E+03;50.021;300;20;0.1764E+03;0.1485E+03;0.540;1.71;00:45:49.900
237.72;0.754;0.0970E+03;50.021;300;20;0.1792E+03;0.1506E+03;0.542;1.70;00:45:50.000
237.76;0.743;0.0956E+03;50.021;300;20;0.1766E+03;0.1485E+03;0.541;1.72;00:45:50.100
237.77;0.734;0.0946E+03;50.022;300;20;0.1744E+03;0.1466E+03;0.542;1.73;00:45:50.200
237.83;0.745;0.0960E+03;50.022;300;20;0.1771E+03;0.1489E+03;0.542;1.72;00:45:50.300
237.85;0.748;0.0966E+03;50.023;300;20;0.1778E+03;0.1493E+03;0.543;1.75;00:45:50.400
237.87;0.737;0.0951E+03;50.023;300;20;0.1752E+03;0.1472E+03;0.543;1.74;00:45:50.500
237.86;0.749;0.0967E+03;50.023;300;20;0.1781E+03;0.1496E+03;0.543;1.74;00:45:50.600
237.89;0.738;0.0952E+03;50.023;300;20;0.1756E+03;0.1476E+03;0.542;1.74;00:45:50.700
237.88;0.750;0.0967E+03;50.023;300;20;0.1783E+03;0.1498E+03;0.542;1.74;00:45:50.800
237.87;0.733;0.0946E+03;50.023;300;20;0.1743E+03;0.1464E+03;0.543;1.75;00:45:50.900
237.86;0.746;0.0963E+03;50.023;300;20;0.1775E+03;0.1491E+03;0.543;1.75;00:45:51.000
237.88;0.735;0.0949E+03;50.021;300;20;0.1749E+03;0.1469E+03;0.543;1.74;00:45:51.100
237.87;0.750;0.0965E+03;50.021;300;20;0.1785E+03;0.1501E+03;0.541;1.73;00:45:51.200
237.87;0.740;0.0954E+03;50.020;300;20;0.1760E+03;0.1479E+03;0.542;1.76;00:45:51.300
237.87;0.750;0.0967E+03;50.018;300;20;0.1784E+03;0.1499E+03;0.542;1.75;00:45:51.400
237.91;0.746;0.0962E+03;50.018;300;20;0.1774E+03;0.1490E+03;0.543;1.75;00:45:51.500
237.86;0.736;0.0948E+03;50.018;300;20;0.1751E+03;0.1472E+03;0.541;1.74;00:45:51.600
237.87;0.743;0.0958E+03;50.017;300;20;0.1768E+03;0.1486E+03;0.542;1.72;00:45:51.700
237.89;0.753;0.0970E+03;50.018;300;20;0.1792E+03;0.1507E+03;0.541;1.74;00:45:51.800
237.85;0.757;0.0975E+03;50.016;300;20;0.1800E+03;0.1513E+03;0.542;1.75;00:45:51.900
237.88;0.811;0.1046E+03;50.017;300;20;0.1929E+03;0.1621E+03;0.542;1.76;00:45:52.000
237.88;0.830;0.1068E+03;50.018;300;20;0.1974E+03;0.1661E+03;0.541;1.75;00:45:52.100
237.85;0.869;0.1117E+03;50.018;300;20;0.2068E+03;0.1740E+03;0.540;1.76;00:45:52.200
