#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329
#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Start Time;00:01:32
#Stop Time;00:09:05
#Actual Count;4539        
URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
236.85;0.745;0.0977E+03;50.078;300;20;0.1765E+03;0.1470E+03;0.554;1.90;00:01:32.000
236.83;0.738;0.0968E+03;50.077;300;20;0.1747E+03;0.1454E+03;0.554;1.92;00:01:32.100
236.82;0.745;0.0978E+03;50.077;300;20;0.1765E+03;0.1470E+03;0.554;1.90;00:01:32.200
236.79;0.742;0.0974E+03;50.075;300;20;0.1758E+03;0.1464E+03;0.554;1.91;00:01:32.300
236.83;0.747;0.0981E+03;50.074;300;20;0.1769E+03;0.1473E+03;0.554;1.91;00:01:32.400
236.81;0.732;0.0961E+03;50.074;300;20;0.1734E+03;0.1443E+03;0.554;1.93;00:01:32.500
236.82;0.749;0.0982E+03;50.074;300;20;0.1774E+03;0.1477E+03;0.554;1.91;00:01:32.600
236.77;0.726;0.0953E+03;50.073;300;20;0.1719E+03;0.1430E+03;0.555;1.91;00:01:32.700
236.73;0.743;0.0975E+03;50.072;300;20;0.1760E+03;0.1465E+03;0.554;1.89;00:01:32.800
236.77;0.741;0.0974E+03;50.073;300;20;0.1753E+03;0.1458E+03;0.556;1.89;00:01:32.900
236.77;0.738;0.0969E+03;50.073;300;20;0.1747E+03;0.1454E+03;0.554;1.90;00:01:33.000
236.77;0.733;0.0961E+03;50.073;300;20;0.1734E+03;0.1444E+03;0.554;1.91;00:01:33.100
236.75;0.741;0.0970E+03;50.072;300;20;0.1754E+03;0.1461E+03;0.553;1.92;00:01:33.200
236.75;0.750;0.0984E+03;50.074;300;20;0.1776E+03;0.1478E+03;0.554;1.90;00:01:33.300
236.79;0.736;0.0967E+03;50.075;300;20;0.1744E+03;0.1451E+03;0.554;1.91;00:01:33.400
236.77;0.738;0.0968E+03;50.075;300;20;0.1746E+03;0.1454E+03;0.554;1.91;00:01:33.500
236.80;0.747;0.0978E+03;50.075;300;20;0.1769E+03;0.1475E+03;0.553;1.91;00:01:33.600
236.77;0.741;0.0972E+03;50.074;300;20;0.1755E+03;0.1462E+03;0.554;1.92;00:01:33.700
236.76;0.736;0.0967E+03;50.075;300;20;0.1743E+03;0.1451E+03;0.554;1.93;00:01:33.800
236.77;0.745;0.0977E+03;50.074;300;20;0.1765E+03;0.1470E+03;0.554;1.92;00:01:33.900
236.80;0.739;0.0968E+03;50.074;300;20;0.1749E+03;0.1457E+03;0.554;1.91;00:01:34.000
236.77;0.747;0.0979E+03;50.073;300;20;0.1769E+03;0.1474E+03;0.553;1.92;00:01:34.100
236.77;0.744;0.0974E+03;50.072;300;20;0.1761E+03;0.1467E+03;0.553;1.90;00:01:34.200
236.76;0.738;0.0966E+03;50.069;300;20;0.1748E+03;0.1457E+03;0.553;1.90;00:01:34.300
236.75;0.733;0.0961E+03;50.068;300;20;0.1736E+03;0.1446E+03;0.554;1.91;00:01:34.400
236.77;0.744;0.0976E+03;50.068;300;20;0.1763E+03;0.1468E+03;0.554;1.91;00:01:34.500
236.81;0.756;0.0991E+03;50.066;300;20;0.1789E+03;0.1489E+03;0.554;1.90;00:01:34.600
236.79;0.752;0.0985E+03;50.065;300;20;0.1781E+03;0.1483E+03;0.553;1.92;00:01:34.700
236.80;0.742;0.0973E+03;50.065;300;20;0.1757E+03;0.1463E+03;0.554;1.92;00:01:34.800
236.78;0.732;0.0960E+03;50.065;300;20;0.1734E+03;0.1444E+03;0.553;1.90;00:01:34.900
236.81;0.752;0.0986E+03;50.064;300;20;0.1781E+03;0.1484E+03;0.553;1.88;00:01:35.000
236.83;0.737;0.0965E+03;50.064;300;20;0.1744E+03;0.1453E+03;0.553;1.89;00:01:35.100
236.83;0.754;0.0990E+03;50.064;300;20;0.1786E+03;0.1487E+03;0.554;1.90;00:01:35.200
236.80;0.728;0.0956E+03;50.065;300;20;0.1723E+03;0.1434E+03;0.555;1.90;00:01:35.300
236.83;0.742;0.0975E+03;50.065;300;20;0.1758E+03;0.1463E+03;0.555;1.93;00:01:35.400
236.81;0.724;0.0950E+03;50.064;300;20;0.1715E+03;0.1428E+03;0.554;1.92;00:01:35.500
236.82;0.757;0.0992E+03;50.064;300;20;0.1792E+03;0.1492E+03;0.554;1.93;00:01:35.600
