#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329
#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Start Time;00:12:58
#Stop Time;00:20:13
#Actual Count;4354        
URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
237.35;0.779;0.0951E+03;49.984;300;20;0.1849E+03;0.1586E+03;0.514;1.63;00:12:58.000
237.46;0.789;0.0966E+03;49.985;300;20;0.1874E+03;0.1606E+03;0.515;1.63;00:12:58.100
237.46;0.780;0.0955E+03;49.986;300;20;0.1853E+03;0.1588E+03;0.515;1.62;00:12:58.200
237.47;0.786;0.0963E+03;49.986;300;20;0.1867E+03;0.1599E+03;0.516;1.63;00:12:58.300
237.49;0.781;0.0957E+03;49.986;300;20;0.1854E+03;0.1588E+03;0.516;1.64;00:12:58.400
237.50;0.781;0.0959E+03;49.986;300;20;0.1855E+03;0.1588E+03;0.517;1.63;00:12:58.500
237.51;0.795;0.0974E+03;49.987;20;20;0.1889E+03;0.1619E+03;0.516;1.63;00:12:58.600
237.49;0.771;0.0943E+03;49.988;300;20;0.1830E+03;0.1569E+03;0.515;1.62;00:12:58.700
237.50;0.785;0.0960E+03;49.987;300;20;0.1863E+03;0.1597E+03;0.515;1.63;00:12:58.800
237.51;0.774;0.0950E+03;49.988;300;20;0.1839E+03;0.1575E+03;0.516;1.63;00:12:58.900
237.50;0.793;0.0971E+03;49.988;300;20;0.1883E+03;0.1613E+03;0.516;1.65;00:12:59.000
237.52;0.785;0.0962E+03;49.988;300;20;0.1865E+03;0.1597E+03;0.516;1.63;00:12:59.100
237.54;0.780;0.0956E+03;49.987;300;20;0.1854E+03;0.1588E+03;0.516;1.62;00:12:59.200
237.52;0.782;0.0958E+03;49.987;300;20;0.1859E+03;0.1593E+03;0.515;1.62;00:12:59.300
237.53;0.794;0.0973E+03;49.988;300;20;0.1885E+03;0.1614E+03;0.516;1.62;00:12:59.400
237.56;0.797;0.0975E+03;49.988;300;20;0.1893E+03;0.1623E+03;0.515;1.61;00:12:59.500
237.53;0.775;0.0947E+03;49.988;300;20;0.1841E+03;0.1579E+03;0.514;1.62;00:12:59.600
237.54;0.783;0.0958E+03;49.987;300;20;0.1859E+03;0.1593E+03;0.515;1.64;00:12:59.700
237.52;0.778;0.0951E+03;49.986;300;20;0.1847E+03;0.1584E+03;0.515;1.62;00:12:59.800
237.48;0.776;0.0950E+03;49.984;300;20;0.1843E+03;0.1580E+03;0.515;1.63;00:12:59.900
237.41;0.780;0.0954E+03;49.984;300;20;0.1852E+03;0.1588E+03;0.515;1.64;00:13:00.000
237.53;0.787;0.0965E+03;49.984;300;20;0.1870E+03;0.1601E+03;0.516;1.64;00:13:00.100
237.48;0.778;0.0952E+03;49.984;300;20;0.1847E+03;0.1583E+03;0.515;1.61;00:13:00.200
237.51;0.786;0.0961E+03;49.984;300;20;0.1866E+03;0.1600E+03;0.515;1.63;00:13:00.300
237.53;0.780;0.0955E+03;49.984;300;20;0.1852E+03;0.1587E+03;0.516;1.62;00:13:00.400
237.50;0.784;0.0959E+03;49.983;300;20;0.1862E+03;0.1596E+03;0.515;1.63;00:13:00.500
237.49;0.775;0.0948E+03;49.983;300;20;0.1841E+03;0.1578E+03;0.515;1.65;00:13:00.600
237.46;0.775;0.0949E+03;49.984;300;20;0.1840E+03;0.1577E+03;0.516;1.64;00:13:00.700
237.47;0.793;0.0970E+03;49.984;300;20;0.1884E+03;0.1615E+03;0.515;1.65;00:13:00.800
237.45;0.770;0.0943E+03;49.984;300;20;0.1829E+03;0.1567E+03;0.516;1.64;00:13:00.900
237.44;0.784;0.0959E+03;49.983;300;20;0.1861E+03;0.1595E+03;0.515;1.66;00:13:01.000
237.45;0.775;0.0949E+03;49.982;300;20;0.1841E+03;0.1577E+03;0.516;1.66;00:13:01.100
237.46;0.791;0.0969E+03;49.982;300;20;0.1878E+03;0.1610E+03;0.516;1.65;00:13:01.200
237.44;0.785;0.0960E+03;49.982;300;20;0.1865E+03;0.1598E+03;0.515;1.66;00:13:01.300
237.36;0.794;0.0972E+03;49.982;300;20;0.1884E+03;0.1614E+03;0.516;1.64;00:13:01.400
237.41;0.783;0.0960E+03;49.983;300;20;0.1860E+03;0.1593E+03;0.516;1.65;00:13:01.500
237.40;0.785;0.0960E+03;49.983;300;20;0.1863E+03;0.1596E+03;0.515;1.65;00:13:01.600
237.38;0.791;0.0968E+03;49.984;300;20;0.1877E+03;0.1608E+03;0.516;1.63;00:13:01.700
237.37;0.781;0.0955E+03;49.985;300;20;0.1854E+03;0.1588E+03;0.515;1.62;00:13:01.800
237.34;0.781;0.0955E+03;49.985;300;20;0.1853E+03;0.1587E+03;0.516;1.62;00:13:01.900
237.30;0.784;0.0960E+03;49.986;300;20;0.1862E+03;0.1595E+03;0.516;1.62;00:13:02.000
237.38;0.794;0.0971E+03;49.986;300;20;0.1884E+03;0.1615E+03;0.515;1.62;00:13:02.100
237.39;0.786;0.0962E+03;49.985;300;20;0.1866E+03;0.1599E+03;0.515;1.63;00:13:02.200
237.37;0.795;0.0973E+03;49.986;300;20;0.1887E+03;0.1617E+03;0.515;1.62;00:13:02.300
237.39;0.776;0.0950E+03;49.986;300;20;0.1843E+03;0.1579E+03;0.516;1.62;00:13:02.400
237.38;0.776;0.0950E+03;49.984;300;20;0.1843E+03;0.1579E+03;0.516;1.62;00:13:02.500
237.37;0.778;0.0954E+03;49.982;300;20;0.1847E+03;0.1582E+03;0.516;1.64;00:13:02.600
237.36;0.785;0.0961E+03;49.980;300;20;0.1862E+03;0.1595E+03;0.516;1.63;00:13:02.700
237.34;0.780;0.0955E+03;49.979;300;20;0.1852E+03;0.1586E+03;0.516;1.63;00:13:02.800
237.39;0.782;0.0958E+03;49.979;300;20;0.1857E+03;0.1591E+03;0.516;1.63;00:13:02.900
237.38;0.781;0.0957E+03;49.978;300;20;0.1855E+03;0.1589E+03;0.516;1.63;00:13:03.000
237.39;0.783;0.0957E+03;49.978;300;20;0.1858E+03;0.1593E+03;0.515;1.63;00:13:03.100
237.42;0.785;0.0961E+03;49.978;300;20;0.1863E+03;0.1596E+03;0.516;1.64;00:13:03.200
237.39;0.777;0.0950E+03;49.977;300;20;0.1846E+03;0.1582E+03;0.515;1.65;00:13:03.300
237.43;0.798;0.0976E+03;49.976;300;20;0.1894E+03;0.1623E+03;0.515;1.64;00:13:03.400
237.44;0.782;0.0956E+03;49.977;300;20;0.1856E+03;0.1591E+03;0.515;1.63;00:13:03.500
237.45;0.793;0.0972E+03;49.978;300;20;0.1883E+03;0.1613E+03;0.516;1.63;00:13:03.600
