#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329
#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Start Time;00:43:52
#Stop Time;00:51:05
#Actual Count;4337        
URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
236.53;0.722;0.0944E+03;50.002;300;20;0.1707E+03;0.1423E+03;0.553;1.83;00:43:52.000
236.51;0.734;0.0956E+03;50.002;300;20;0.1735E+03;0.1448E+03;0.551;1.85;00:43:52.100
236.56;0.721;0.0943E+03;50.001;300;20;0.1706E+03;0.1422E+03;0.553;1.85;00:43:52.200
236.52;0.730;0.0952E+03;50.001;300;20;0.1727E+03;0.1440E+03;0.552;1.86;00:43:52.300
236.53;0.734;0.0960E+03;50.001;300;20;0.1737E+03;0.1448E+03;0.553;1.85;00:43:52.400
236.53;0.734;0.0959E+03;50.002;300;20;0.1736E+03;0.1447E+03;0.552;1.84;00:43:52.500
236.55;0.726;0.0950E+03;50.003;300;20;0.1718E+03;0.1431E+03;0.553;1.86;00:43:52.600
236.56;0.727;0.0949E+03;50.002;300;20;0.1720E+03;0.1434E+03;0.552;1.84;00:43:52.700
236.56;0.736;0.0961E+03;50.002;300;20;0.1741E+03;0.1452E+03;0.552;1.84;00:43:52.800
236.58;0.728;0.0950E+03;50.004;300;20;0.1722E+03;0.1436E+03;0.552;1.85;00:43:52.900
236.56;0.729;0.0953E+03;50.003;300;20;0.1725E+03;0.1438E+03;0.552;1.84;00:43:53.000
236.55;0.722;0.0943E+03;50.003;300;20;0.1707E+03;0.1423E+03;0.553;1.85;00:43:53.100
236.58;0.737;0.0963E+03;50.004;300;20;0.1744E+03;0.1454E+03;0.552;1.86;00:43:53.200
236.50;0.720;0.0941E+03;50.005;300;20;0.1703E+03;0.1420E+03;0.553;1.85;00:43:53.300
236.56;0.739;0.0965E+03;50.004;300;20;0.1748E+03;0.1457E+03;0.552;1.85;00:43:53.400
236.52;0.712;0.0932E+03;50.004;300;20;0.1684E+03;0.1402E+03;0.553;1.86;00:43:53.500
236.54;0.728;0.0952E+03;50.004;300;20;0.1722E+03;0.1435E+03;0.553;1.87;00:43:53.600
236.58;0.720;0.0941E+03;50.004;300;20;0.1703E+03;0.1419E+03;0.552;1.87;00:43:53.700
236.61;0.729;0.0953E+03;50.005;300;20;0.1725E+03;0.1438E+03;0.552;1.88;00:43:53.800
236.58;0.726;0.0951E+03;50.004;300;20;0.1718E+03;0.1431E+03;0.554;1.87;00:43:53.900
236.56;0.723;0.0947E+03;50.005;300;20;0.1711E+03;0.1426E+03;0.553;1.88;00:43:54.000
236.54;0.724;0.0948E+03;50.005;300;20;0.1714E+03;0.1428E+03;0.553;1.90;00:43:54.100
236.54;0.732;0.0954E+03;50.004;300;20;0.1731E+03;0.1444E+03;0.551;1.90;00:43:54.200
236.51;0.733;0.0956E+03;50.005;300;20;0.1734E+03;0.1447E+03;0.551;1.86;00:43:54.300
