Time,P[W],Source File
0.000000,96.700000,J2It1
0.100000,96.200000,J2It3
0.200000,224.600000,J2It3
0.300000,599.100000,J2It3
0.400000,529.900000,J2It2
0.500000,76.100000,J2It2
0.600000,76.200000,J2It1
0.700000,76.000000,J2It3
0.800000,76.000000,J2It3
0.900000,95.100000,J2It1
1.000000,96.400000,J2It2
1.100000,96.300000,J2It3
1.200000,97.000000,J2It2
1.300000,95.700000,J2It3
1.400000,97.000000,J2It3
1.500000,96.900000,J2It1
1.600000,96.600000,J2It3
1.700000,396.300000,J2It1
1.800000,608.200000,J2It1
1.900000,319.100000,J2It1
2.000000,78.300000,J2It2
2.100000,76.000000,J2It1
2.200000,75.900000,J2It3
2.300000,76.900000,J2It1
2.400000,90.100000,J2It1
2.500000,96.400000,J2It2
2.600000,95.400000,J2It3
2.700000,95.900000,J2It3
2.800000,96.900000,J2It1
2.900000,96.800000,J2It1
3.000000,95.800000,J2It1
3.100000,95.900000,J2It2
3.200000,183.800000,J2It3
3.300000,503.400000,J2It3
3.400000,315.500000,J2It1
3.500000,85.200000,J2It1
3.600000,76.100000,J2It2
3.700000,75.800000,J2It1
3.800000,86.500000,J2It1
3.900000,96.100000,J2It2
4.000000,96.900000,J2It2
4.100000,96.900000,J2It3
4.200000,96.900000,J2It3
4.300000,97.000000,J2It1
4.400000,96.100000,J2It3
4.500000,96.800000,J2It2
4.600000,103.800000,J2It3
4.700000,318.000000,J2It3
4.800000,533.400000,J2It1
4.900000,344.800000,J2It3
5.000000,76.000000,J2It2
5.100000,75.800000,J2It2
5.200000,76.100000,J2It2
5.300000,94.000000,J2It1
5.400000,96.800000,J2It2
5.500000,96.400000,J2It3
5.600000,96.100000,J2It2
5.700000,95.500000,J2It1
5.800000,96.700000,J2It1
5.900000,95.400000,J2It3
6.000000,96.700000,J2It2
6.100000,97.800000,J2It2
6.200000,303.900000,J2It3
6.300000,458.400000,J2It1
6.400000,329.500000,J2It1
6.500000,207.100000,J2It3
6.600000,75.900000,J2It2
6.700000,76.500000,J2It1
6.800000,86.800000,J2It3
6.900000,98.000000,J2It2
7.000000,96.000000,J2It3
7.100000,97.000000,J2It1
7.200000,96.200000,J2It2
7.300000,96.500000,J2It1
7.400000,96.300000,J2It3
7.500000,96.300000,J2It1
7.600000,96.700000,J2It2
7.700000,268.000000,J2It2
7.800000,449.400000,J2It1
7.900000,319.400000,J2It1
8.000000,247.600000,J2It1
8.100000,76.100000,J2It2
8.200000,76.500000,J2It3
8.300000,90.300000,J2It3
8.400000,95.600000,J2It3
8.500000,96.400000,J2It2
8.600000,96.300000,J2It2
8.700000,95.900000,J2It3
8.800000,96.500000,J2It1
8.900000,97.200000,J2It1
9.000000,96.000000,J2It1
9.100000,95.500000,J2It2
9.200000,99.400000,J2It3
9.300000,245.100000,J2It3
9.400000,364.900000,J2It3
9.500000,271.200000,J2It1
9.600000,185.200000,J2It1
9.700000,76.400000,J2It1
9.800000,88.900000,J2It1
9.900000,97.200000,J2It1
10.000000,96.900000,J2It2
10.100000,96.000000,J2It1
10.200000,96.200000,J2It1
10.300000,96.300000,J2It3
10.400000,96.600000,J2It1
10.500000,96.700000,J2It2
10.600000,96.500000,J2It3
10.700000,98.200000,J2It3
10.800000,175.700000,J2It3
10.900000,375.500000,J2It3
11.000000,283.700000,J2It3
11.100000,236.800000,J2It1
11.200000,82.400000,J2It1
11.300000,75.900000,J2It2
11.400000,96.300000,J2It1
11.500000,95.900000,J2It2
11.600000,95.400000,J2It2
11.700000,96.700000,J2It1
11.800000,96.300000,J2It3
11.900000,97.500000,J2It1
12.000000,96.100000,J2It3
12.100000,96.400000,J2It3
12.200000,96.200000,J2It1
12.300000,100.800000,J2It3
12.400000,234.200000,J2It3
12.500000,320.400000,J2It1
12.600000,235.500000,J2It1
12.700000,236.000000,J2It1
12.800000,123.700000,J2It1
12.900000,77.600000,J2It3
13.000000,94.900000,J2It2
13.100000,96.400000,J2It2
13.200000,97.200000,J2It1
13.300000,95.900000,J2It2
13.400000,96.800000,J2It3
13.500000,95.900000,J2It3
13.600000,96.600000,J2It2
13.700000,96.300000,J2It2
13.800000,96.400000,J2It1
13.900000,106.000000,J2It3
14.000000,266.000000,J2It3
14.100000,316.700000,J2It1
14.200000,237.000000,J2It1
14.300000,235.600000,J2It1
14.400000,111.000000,J2It1
14.500000,81.400000,J2It3
14.600000,95.900000,J2It1
14.700000,96.300000,J2It1
14.800000,95.900000,J2It2
14.900000,96.900000,J2It3
15.000000,95.600000,J2It1
15.100000,96.200000,J2It2
15.200000,96.500000,J2It2
15.300000,96.600000,J2It3
15.400000,95.400000,J2It2
15.500000,98.200000,J2It3
15.600000,193.700000,J2It3
15.700000,263.800000,J2It1
15.800000,207.400000,J2It1
15.900000,204.800000,J2It1
16.000000,205.400000,J2It1
16.100000,142.700000,J2It1
16.200000,94.800000,J2It1
16.300000,95.900000,J2It3
16.400000,96.600000,J2It2
16.500000,96.300000,J2It3
16.600000,96.600000,J2It2
16.700000,96.800000,J2It1
16.800000,97.200000,J2It1
16.900000,96.700000,J2It2
17.000000,96.000000,J2It3
17.100000,96.200000,J2It2
17.200000,106.500000,J2It3
17.300000,237.000000,J2It3
17.400000,223.500000,J2It3
17.500000,207.200000,J2It1
17.600000,206.800000,J2It1
17.700000,207.100000,J2It1
17.800000,111.400000,J2It2
17.900000,96.800000,J2It1
18.000000,96.400000,J2It2
18.100000,95.300000,J2It1
18.200000,96.600000,J2It3
18.300000,96.600000,J2It1
18.400000,96.700000,J2It3
18.500000,95.300000,J2It3
18.600000,96.500000,J2It3
18.700000,95.800000,J2It2
18.800000,96.500000,J2It3
18.900000,99.600000,J2It3
19.000000,188.800000,J2It3
19.100000,192.300000,J2It3
19.200000,180.100000,J2It1
19.300000,179.200000,J2It1
19.400000,177.500000,J2It1
19.500000,175.800000,J2It3
19.600000,89.900000,J2It1
19.700000,96.600000,J2It3
19.800000,96.700000,J2It2
19.900000,97.300000,J2It2
20.000000,95.500000,J2It1
20.100000,96.900000,J2It3
20.200000,96.400000,J2It1
20.300000,96.400000,J2It1
20.400000,96.300000,J2It2
20.500000,95.600000,J2It1
20.600000,96.600000,J2It1
20.700000,132.600000,J2It1
20.800000,215.200000,J2It1
20.900000,181.800000,J2It1
21.000000,180.500000,J2It1
21.100000,178.300000,J2It1
21.200000,180.100000,J2It1
21.300000,175.900000,J2It1
21.400000,97.400000,J2It1
21.500000,96.400000,J2It2
21.600000,96.200000,J2It1
21.700000,96.000000,J2It1
21.800000,96.300000,J2It3
21.900000,97.400000,J2It2
22.000000,96.100000,J2It1
22.100000,95.900000,J2It3
22.200000,95.200000,J2It1
22.300000,96.700000,J2It1
22.400000,96.100000,J2It2
22.500000,111.300000,J2It3
22.600000,167.400000,J2It3
22.700000,155.000000,J2It1
22.800000,154.000000,J2It1
22.900000,153.600000,J2It1
23.000000,153.300000,J2It1
23.100000,153.000000,J2It1
23.200000,155.000000,J2It1
23.300000,151.400000,J2It1
23.400000,104.500000,J2It1
23.500000,95.600000,J2It1
23.600000,95.900000,J2It3
23.700000,96.600000,J2It1
23.800000,96.000000,J2It3
23.900000,96.700000,J2It2
24.000000,96.500000,J2It1
24.100000,96.200000,J2It2
24.200000,95.900000,J2It3
24.300000,96.600000,J2It2
24.400000,96.200000,J2It3
24.500000,143.600000,J2It3
24.600000,170.400000,J2It1
24.700000,155.400000,J2It1
24.800000,152.600000,J2It1
24.900000,153.900000,J2It1
25.000000,154.400000,J2It1
25.100000,155.000000,J2It1
25.200000,155.000000,J2It1
25.300000,136.100000,J2It1
25.400000,94.400000,J2It1
25.500000,97.000000,J2It3
25.600000,96.400000,J2It2
25.700000,96.600000,J2It3
25.800000,96.500000,J2It1
25.900000,96.400000,J2It2
26.000000,95.700000,J2It1
26.100000,95.100000,J2It2
26.200000,96.000000,J2It1
26.300000,95.600000,J2It2
26.400000,95.800000,J2It1
26.500000,127.200000,J2It3
26.600000,134.600000,J2It1
26.700000,130.900000,J2It2
26.800000,130.100000,J2It1
26.900000,133.000000,J2It1
27.000000,129.400000,J2It1
27.100000,130.000000,J2It1
27.200000,130.100000,J2It1
27.300000,130.000000,J2It1
27.400000,131.200000,J2It1
27.500000,129.900000,J2It1
27.600000,130.400000,J2It1
