Move,Speed,Accel,Runs Used,Motion Start Index (per used run),Lag Fine Samples (per used run),Lag Seconds (per used run),Max Corr (per used run),Energy_mean_J,Energy_mean_Wh,Energy_median_J,Energy_median_Wh,Energy_p80_J,Energy_p80_Wh,Energy_p90_J,Energy_p90_Wh,Energy_max_J,Energy_max_Wh
79,80,90,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,4,-6,-5,-7,1,-2,-11,-1,-6","+0.0000,+0.0200,-0.0300,-0.0250,-0.0350,+0.0050,-0.0100,-0.0550,-0.0050,-0.0300","1.0000,0.8161,0.9335,0.9333,0.9317,0.9394,0.9402,0.9234,0.9383,0.9455",438.550269,0.121820,438.832188,0.121898,463.757968,0.128822,475.648475,0.132125,504.103563,0.140029
80,80,100,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,-7,-8,-6,-15,0,-3,-12,0,-7","+0.0000,-0.0350,-0.0400,-0.0300,-0.0750,+0.0000,-0.0150,-0.0600,+0.0000,-0.0350","1.0000,0.8017,0.7544,0.7817,0.7344,0.8254,0.7985,0.7212,0.8071,0.8160",410.402969,0.114001,404.228069,0.112286,440.713333,0.122420,458.622124,0.127395,491.262975,0.136462
81,90,10,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,12,-12,-14,8,-20,-7,-20,-8,-13","+0.0000,+0.0600,-0.0600,-0.0700,+0.0400,-0.1000,-0.0350,-0.1000,-0.0400,-0.0650","1.0000,0.9978,0.9892,0.9554,0.9410,1.0197,0.9930,0.9739,0.9806,1.0041",541.277573,0.150355,538.412881,0.149559,556.542380,0.154595,563.635530,0.156565,575.498725,0.159861
82,90,20,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,-13,-10,-13,2,-20,-3,-19,-7,-11","+0.0000,-0.0650,-0.0500,-0.0650,+0.0100,-0.1000,-0.0150,-0.0950,-0.0350,-0.0550","1.0000,1.0112,0.9974,0.9666,0.9447,1.0382,1.0046,0.9822,0.9722,1.0040",482.816627,0.134116,481.195025,0.133665,502.799155,0.139666,510.737717,0.141872,526.027650,0.146119
83,90,30,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,-16,14,14,9,2,-4,9,20,13","+0.0000,-0.0800,+0.0700,+0.0700,+0.0450,+0.0100,-0.0200,+0.0450,+0.1000,+0.0650","1.0000,1.0249,1.0146,1.0080,0.9962,1.0027,1.0082,1.0044,1.0245,1.0138",464.434999,0.129010,462.508700,0.128475,485.792385,0.134942,493.166715,0.136991,506.174375,0.140604
84,90,40,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,3,-13,-14,2,-2,19,4,-7,9","+0.0000,+0.0150,-0.0650,-0.0700,+0.0100,-0.0100,+0.0950,+0.0200,-0.0350,+0.0450","1.0000,1.0063,1.0238,1.0177,0.9785,1.0028,1.0554,0.9828,0.9935,1.0001",449.032621,0.124731,446.937600,0.124149,481.741293,0.133817,492.618415,0.136838,503.606312,0.139891
85,90,50,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,5,-9,-10,-16,-3,-7,-14,2,-9","+0.0000,+0.0250,-0.0450,-0.0500,-0.0800,-0.0150,-0.0350,-0.0700,+0.0100,-0.0450","1.0000,1.0070,0.9999,1.0075,1.0318,1.0047,1.0060,1.0220,0.9835,1.0045",433.578325,0.120438,433.409350,0.120391,455.460083,0.126517,464.100785,0.128917,476.033188,0.132231
86,90,60,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,5,5,3,-6,-4,-8,3,11,5","+0.0000,+0.0250,+0.0250,+0.0150,-0.0300,-0.0200,-0.0400,+0.0150,+0.0550,+0.0250","1.0000,1.0048,0.9222,0.9509,0.9341,0.9964,1.0039,0.9540,0.8802,0.9604",427.116263,0.118643,425.021244,0.118061,467.773435,0.129937,482.396864,0.133999,498.711262,0.138531
87,90,70,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,5,11,5,3,16,14,6,1,7","+0.0000,+0.0250,+0.0550,+0.0250,+0.0150,+0.0800,+0.0700,+0.0300,+0.0050,+0.0350","1.0000,1.0088,0.9829,0.9236,0.9973,0.9933,0.9595,0.9767,0.9940,0.9125",439.911852,0.122198,439.183138,0.121995,467.453665,0.129848,483.769446,0.134380,499.094663,0.138637
88,90,80,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,4,15,11,2,20,17,7,0,15","+0.0000,+0.0200,+0.0750,+0.0550,+0.0100,+0.1000,+0.0850,+0.0350,+0.0000,+0.0750","1.0000,0.9870,0.9997,0.9800,0.9918,0.8789,0.8247,0.9814,0.9823,0.9980",425.006347,0.118057,426.689894,0.118525,454.937395,0.126371,475.266543,0.132018,486.647875,0.135180
89,90,90,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,-17,-9,-13,-19,1,-4,-16,0,-9","+0.0000,-0.0850,-0.0450,-0.0650,-0.0950,+0.0050,-0.0200,-0.0800,+0.0000,-0.0450","1.0000,1.0100,0.9974,1.0142,1.0157,0.8870,0.8319,1.0053,0.9995,0.9985",429.160233,0.119211,430.181788,0.119495,463.863578,0.128851,488.711645,0.135753,502.290575,0.139525
90,90,100,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,-13,-5,-10,-19,1,0,-12,0,-4","+0.0000,-0.0650,-0.0250,-0.0500,-0.0950,+0.0050,+0.0000,-0.0600,+0.0000,-0.0200","1.0000,0.9304,0.9688,0.9420,0.9125,0.9122,0.8702,0.9281,0.9978,0.9667",419.851150,0.116625,421.702175,0.117139,452.400005,0.125667,471.245824,0.130902,489.025575,0.135840
91,100,10,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,6,-8,-10,8,-20,-10,13,-2,-13","+0.0000,+0.0300,-0.0400,-0.0500,+0.0400,-0.1000,-0.0500,+0.0650,-0.0100,-0.0650","1.0000,1.0048,1.0006,0.9984,0.9773,0.9641,0.9452,1.0015,1.0014,1.0042",535.843908,0.148846,534.174225,0.148382,549.272418,0.152576,557.220010,0.154783,568.303300,0.157862
92,100,20,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,7,14,10,6,2,-5,10,20,12","+0.0000,+0.0350,+0.0700,+0.0500,+0.0300,+0.0100,-0.0250,+0.0500,+0.1000,+0.0600","1.0000,1.0096,1.0188,1.0037,0.9623,0.9622,0.9789,1.0033,1.0414,1.0101",480.882679,0.133579,480.859300,0.133572,499.210965,0.138670,506.352048,0.140653,520.189550,0.144497
93,100,30,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,7,-10,-13,6,5,20,-13,19,15","+0.0000,+0.0350,-0.0500,-0.0650,+0.0300,+0.0250,+0.1000,-0.0650,+0.0950,+0.0750","1.0000,1.0124,1.0132,1.0171,0.9787,1.0031,1.0407,1.0182,1.0374,1.0266",456.073425,0.126687,452.908556,0.125808,475.323105,0.132034,485.028175,0.134730,515.594275,0.143221
94,100,40,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,-15,-11,-13,9,-20,-4,10,-5,-8","+0.0000,-0.0750,-0.0550,-0.0650,+0.0450,-0.1000,-0.0200,+0.0500,-0.0250,-0.0400","1.0000,1.0403,1.0165,1.0216,0.9806,1.0441,0.9955,1.0113,0.9992,1.0125",439.098212,0.121972,435.680550,0.121022,466.006758,0.129446,482.350795,0.133986,508.445888,0.141235
95,100,50,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,8,8,5,20,20,17,5,17,14","+0.0000,+0.0400,+0.0400,+0.0250,+0.1000,+0.1000,+0.0850,+0.0250,+0.0850,+0.0700","1.0000,1.0119,1.0197,1.0088,1.0239,1.0229,1.0148,1.0073,1.0158,1.0104",441.798798,0.122722,440.718800,0.122422,468.230060,0.130064,479.838428,0.133288,505.676325,0.140466
96,100,60,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,7,10,7,7,-2,16,8,16,14","+0.0000,+0.0350,+0.0500,+0.0350,+0.0350,-0.0100,+0.0800,+0.0400,+0.0800,+0.0700","1.0000,1.0111,0.9670,0.9478,0.9133,0.9758,1.0286,0.9564,1.0288,1.0236",426.914163,0.118587,430.989825,0.119719,463.407040,0.128724,475.403892,0.132057,510.968850,0.141936
97,100,70,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,0,7,3,5,-6,18,4,12,10","+0.0000,+0.0000,+0.0350,+0.0150,+0.0250,-0.0300,+0.0900,+0.0200,+0.0600,+0.0500","1.0000,0.9565,0.9594,0.9638,0.9553,0.9815,0.9906,0.9632,1.0052,1.0013",419.513399,0.116531,421.450556,0.117070,469.819455,0.130505,482.185000,0.133940,498.347500,0.138430
98,100,80,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,3,8,2,6,-1,17,5,11,11","+0.0000,+0.0150,+0.0400,+0.0100,+0.0300,-0.0050,+0.0850,+0.0250,+0.0550,+0.0550","1.0000,0.9494,0.9190,0.9394,0.9534,1.0020,1.0016,0.9358,0.9991,0.9971",423.469030,0.117630,428.512450,0.119031,475.386735,0.132052,491.429843,0.136508,505.348050,0.140374
99,100,90,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,4,8,5,-15,-1,-4,6,-5,-6","+0.0000,+0.0200,+0.0400,+0.0250,-0.0750,-0.0050,-0.0200,+0.0300,-0.0250,-0.0300","1.0000,0.9506,0.9419,0.9356,0.9948,1.0022,1.0009,0.9394,0.9954,0.9948",424.977076,0.118049,427.424775,0.118729,468.274180,0.130076,484.199451,0.134500,498.576862,0.138494
100,100,100,"2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,0,0,0","0,0,3,-1,0,-2,-5,-1,-4,-16","+0.0000,+0.0000,+0.0150,-0.0050,+0.0000,-0.0100,-0.0250,-0.0050,-0.0200,-0.0800","1.0000,0.9513,0.9140,0.9252,0.9569,0.9232,0.9206,0.9200,0.9524,0.8053",429.153892,0.119209,427.725975,0.118813,480.861685,0.133573,495.558525,0.137655,518.921100,0.144145
