#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329
#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Start Time;00:35:29
#Stop Time;00:36:22
#Actual Count;537         
URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
237.98;0.753;0.0958E+03;50.049;300;20;0.1793E+03;0.1515E+03;0.535;1.77;00:35:29.000
238.01;0.749;0.0956E+03;50.049;300;20;0.1783E+03;0.1505E+03;0.536;1.75;00:35:29.100
238.01;0.752;0.0957E+03;50.048;300;20;0.1789E+03;0.1511E+03;0.535;1.76;00:35:29.200
237.99;0.753;0.0960E+03;50.048;300;20;0.1792E+03;0.1513E+03;0.535;1.76;00:35:29.300
237.98;0.752;0.0959E+03;50.048;300;20;0.1791E+03;0.1512E+03;0.535;1.78;00:35:29.400
237.98;0.752;0.0959E+03;50.048;300;20;0.1790E+03;0.1511E+03;0.536;1.77;00:35:29.500
238.00;0.747;0.0953E+03;50.048;300;20;0.1777E+03;0.1500E+03;0.536;1.76;00:35:29.600
237.99;0.760;0.0967E+03;50.047;300;20;0.1809E+03;0.1528E+03;0.535;1.75;00:35:29.700
237.99;0.748;0.0953E+03;50.046;300;20;0.1779E+03;0.1502E+03;0.536;1.76;00:35:29.800
237.97;0.755;0.0962E+03;50.045;300;20;0.1797E+03;0.1518E+03;0.535;1.78;00:35:29.900
237.97;0.741;0.0945E+03;50.046;300;20;0.1764E+03;0.1489E+03;0.536;1.79;00:35:30.000
237.95;0.746;0.0950E+03;50.047;300;20;0.1776E+03;0.1500E+03;0.535;1.77;00:35:30.100
237.91;0.739;0.0942E+03;50.047;300;20;0.1758E+03;0.1484E+03;0.536;1.79;00:35:30.200
237.93;0.761;0.0971E+03;50.047;300;20;0.1811E+03;0.1529E+03;0.536;1.78;00:35:30.300
237.94;0.752;0.0959E+03;50.047;300;20;0.1788E+03;0.1509E+03;0.536;1.78;00:35:30.400
237.98;0.754;0.0960E+03;50.049;300;20;0.1794E+03;0.1515E+03;0.535;1.76;00:35:30.500
237.96;0.741;0.0945E+03;50.047;300;20;0.1764E+03;0.1490E+03;0.535;1.76;00:35:30.600
237.97;0.753;0.0959E+03;50.048;300;20;0.1793E+03;0.1514E+03;0.535;1.77;00:35:30.700
