#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329
#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Start Time;00:18:34
#Stop Time;00:19:27
#Actual Count;540         
URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
237.95;0.802;0.0970E+03;49.937;300;20;0.1909E+03;0.1644E+03;0.508;1.76;00:18:34.000
237.97;0.795;0.0962E+03;49.937;300;20;0.1892E+03;0.1629E+03;0.508;1.77;00:18:34.100
237.95;0.792;0.0958E+03;49.936;300;20;0.1884E+03;0.1622E+03;0.508;1.78;00:18:34.200
237.94;0.796;0.0964E+03;49.937;300;20;0.1895E+03;0.1631E+03;0.509;1.77;00:18:34.300
237.95;0.784;0.0950E+03;49.937;300;20;0.1865E+03;0.1605E+03;0.509;1.78;00:18:34.400
237.95;0.790;0.0956E+03;49.937;300;20;0.1881E+03;0.1619E+03;0.508;1.79;00:18:34.500
237.93;0.795;0.0963E+03;49.937;300;20;0.1891E+03;0.1627E+03;0.509;1.79;00:18:34.600
237.93;0.799;0.0967E+03;49.937;300;20;0.1901E+03;0.1637E+03;0.509;1.78;00:18:34.700
237.91;0.781;0.0946E+03;49.937;300;20;0.1857E+03;0.1598E+03;0.509;1.79;00:18:34.800
237.88;0.793;0.0961E+03;49.937;300;20;0.1887E+03;0.1624E+03;0.509;1.77;00:18:34.900
237.85;0.784;0.0949E+03;49.936;300;20;0.1864E+03;0.1604E+03;0.509;1.77;00:18:35.000
237.85;0.797;0.0964E+03;49.936;300;20;0.1895E+03;0.1632E+03;0.509;1.75;00:18:35.100
237.82;0.794;0.0962E+03;49.935;300;20;0.1889E+03;0.1626E+03;0.509;1.74;00:18:35.200
237.87;0.786;0.0952E+03;49.936;300;20;0.1869E+03;0.1609E+03;0.509;1.76;00:18:35.300
237.87;0.794;0.0962E+03;49.936;300;20;0.1888E+03;0.1625E+03;0.509;1.77;00:18:35.400
237.86;0.796;0.0964E+03;49.937;300;20;0.1892E+03;0.1628E+03;0.509;1.77;00:18:35.500
237.86;0.799;0.0967E+03;49.936;300;20;0.1900E+03;0.1635E+03;0.509;1.77;00:18:35.600
237.93;0.795;0.0963E+03;49.936;300;20;0.1892E+03;0.1629E+03;0.509;1.77;00:18:35.700
237.89;0.799;0.0967E+03;49.936;300;20;0.1900E+03;0.1635E+03;0.509;1.78;00:18:35.800
237.91;0.789;0.0955E+03;49.935;300;20;0.1878E+03;0.1617E+03;0.509;1.78;00:18:35.900
237.88;0.795;0.0959E+03;49.935;300;20;0.1890E+03;0.1629E+03;0.508;1.79;00:18:36.000
237.88;0.794;0.0961E+03;49.936;300;20;0.1889E+03;0.1626E+03;0.509;1.77;00:18:36.100
237.89;0.793;0.0960E+03;49.937;300;20;0.1886E+03;0.1623E+03;0.509;1.78;00:18:36.200
237.88;0.794;0.0961E+03;49.937;300;20;0.1890E+03;0.1627E+03;0.509;1.78;00:18:36.300
237.88;0.794;0.0962E+03;49.936;300;20;0.1890E+03;0.1627E+03;0.509;1.78;00:18:36.400
237.89;0.799;0.0967E+03;49.937;300;20;0.1902E+03;0.1637E+03;0.509;1.75;00:18:36.500
237.92;0.808;0.0976E+03;49.938;300;20;0.1922E+03;0.1655E+03;0.508;1.75;00:18:36.600
237.93;0.797;0.0964E+03;49.938;300;20;0.1896E+03;0.1633E+03;0.509;1.74;00:18:36.700
237.92;0.783;0.0947E+03;49.938;300;20;0.1862E+03;0.1603E+03;0.508;1.77;00:18:36.800
237.93;0.789;0.0955E+03;49.938;300;20;0.1876E+03;0.1615E+03;0.509;1.77;00:18:36.900
237.93;0.794;0.0961E+03;49.938;300;20;0.1890E+03;0.1627E+03;0.509;1.77;00:18:37.000
237.93;0.796;0.0962E+03;49.936;300;20;0.1894E+03;0.1631E+03;0.508;1.78;00:18:37.100
237.93;0.789;0.0955E+03;49.935;300;20;0.1878E+03;0.1617E+03;0.509;1.78;00:18:37.200
237.91;0.793;0.0960E+03;49.935;300;20;0.1886E+03;0.1624E+03;0.509;1.75;00:18:37.300
237.93;0.784;0.0950E+03;49.934;300;20;0.1865E+03;0.1605E+03;0.509;1.77;00:18:37.400
237.89;0.796;0.0964E+03;49.933;300;20;0.1893E+03;0.1630E+03;0.509;1.77;00:18:37.500
237.91;0.799;0.0968E+03;49.934;300;20;0.1901E+03;0.1636E+03;0.509;1.77;00:18:37.600
237.96;0.815;0.0985E+03;49.934;300;20;0.1939E+03;0.1670E+03;0.508;1.77;00:18:37.700
237.62;2.599;0.3241E+03;49.934;300;20;0.6177E+03;0.5258E+03;0.525;1.83;00:18:37.800
237.32;4.045;0.5366E+03;49.934;300;20;0.9600E+03;0.7961E+03;0.559;1.94;00:18:37.900
237.07;5.166;0.7116E+03;49.935;300;20;1.2248E+03;0.9969E+03;0.581;2.04;00:18:38.000
237.24;4.280;0.5737E+03;49.937;300;20;1.0153E+03;0.8377E+03;0.565;1.95;00:18:38.100
237.87;1.179;0.1421E+03;49.937;300;20;0.2806E+03;0.2419E+03;0.507;1.79;00:18:38.200
237.98;0.813;0.0983E+03;49.937;300;20;0.1935E+03;0.1667E+03;0.508;1.76;00:18:38.300
237.98;0.690;0.0839E+03;49.938;300;20;0.1642E+03;0.1412E+03;0.511;1.74;00:18:38.400
237.97;0.772;0.0936E+03;49.938;300;20;0.1836E+03;0.1580E+03;0.510;1.78;00:18:38.500
237.77;2.011;0.2434E+03;49.937;300;20;0.4783E+03;0.4117E+03;0.509;1.82;00:18:38.600
237.53;3.288;0.4241E+03;49.937;300;20;0.7811E+03;0.6559E+03;0.543;1.91;00:18:38.700
237.24;4.624;0.6268E+03;49.938;300;20;1.0969E+03;0.9002E+03;0.571;2.03;00:18:38.800
237.20;4.717;0.6413E+03;49.938;300;20;1.1188E+03;0.9168E+03;0.573;1.97;00:18:38.900
237.87;1.591;0.1899E+03;49.936;300;20;0.3785E+03;0.3275E+03;0.502;1.86;00:18:39.000
237.99;0.901;0.1087E+03;49.937;300;20;0.2145E+03;0.1849E+03;0.507;1.78;00:18:39.100
238.04;0.697;0.0845E+03;49.937;300;20;0.1660E+03;0.1429E+03;0.509;1.75;00:18:39.200
238.02;0.712;0.0863E+03;49.937;300;20;0.1694E+03;0.1458E+03;0.509;1.77;00:18:39.300
238.03;0.807;0.0978E+03;49.938;300;20;0.1920E+03;0.1652E+03;0.509;1.76;00:18:39.400
237.97;0.792;0.0960E+03;49.938;300;20;0.1884E+03;0.1621E+03;0.510;1.76;00:18:39.500
237.96;0.787;0.0957E+03;49.937;300;20;0.1874E+03;0.1611E+03;0.511;1.75;00:18:39.600
238.01;0.799;0.0972E+03;49.937;300;20;0.1902E+03;0.1635E+03;0.511;1.72;00:18:39.700
238.03;0.798;0.0966E+03;49.937;300;20;0.1899E+03;0.1634E+03;0.509;1.74;00:18:39.800
238.02;0.801;0.0971E+03;49.938;300;20;0.1906E+03;0.1640E+03;0.509;1.72;00:18:39.900
238.06;0.792;0.0959E+03;49.940;300;20;0.1885E+03;0.1623E+03;0.509;1.74;00:18:40.000
238.01;0.790;0.0954E+03;49.940;300;20;0.1879E+03;0.1619E+03;0.508;1.75;00:18:40.100
