#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329
#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Start Time;00:36:30
#Stop Time;00:37:15
#Actual Count;453         
URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
237.88;0.747;0.0952E+03;50.050;300;20;0.1777E+03;0.1501E+03;0.536;1.71;00:36:30.000
237.89;0.745;0.0950E+03;50.049;300;20;0.1773E+03;0.1497E+03;0.536;1.73;00:36:30.100
237.89;0.749;0.0954E+03;50.050;300;20;0.1782E+03;0.1505E+03;0.535;1.70;00:36:30.200
237.89;0.750;0.0956E+03;50.051;300;20;0.1785E+03;0.1508E+03;0.536;1.71;00:36:30.300
237.91;0.759;0.0966E+03;50.053;300;20;0.1806E+03;0.1525E+03;0.535;1.70;00:36:30.400
237.90;0.737;0.0940E+03;50.050;300;20;0.1754E+03;0.1482E+03;0.536;1.71;00:36:30.500
237.92;0.760;0.0970E+03;50.052;300;20;0.1809E+03;0.1527E+03;0.536;1.71;00:36:30.600
237.90;0.737;0.0940E+03;50.052;300;20;0.1754E+03;0.1480E+03;0.536;1.70;00:36:30.700
237.90;0.760;0.0968E+03;50.053;300;20;0.1808E+03;0.1528E+03;0.535;1.72;00:36:30.800
237.89;0.751;0.0956E+03;50.053;300;20;0.1786E+03;0.1509E+03;0.535;1.71;00:36:30.900
237.87;0.748;0.0953E+03;50.053;300;20;0.1779E+03;0.1502E+03;0.536;1.71;00:36:31.000
237.82;0.736;0.0940E+03;50.052;300;20;0.1751E+03;0.1478E+03;0.537;1.70;00:36:31.100
237.79;0.753;0.0959E+03;50.051;300;20;0.1790E+03;0.1511E+03;0.536;1.72;00:36:31.200
237.78;0.754;0.0962E+03;50.052;300;20;0.1794E+03;0.1514E+03;0.536;1.69;00:36:31.300
237.80;0.756;0.0964E+03;50.050;300;20;0.1798E+03;0.1517E+03;0.536;1.72;00:36:31.400
237.78;0.741;0.0945E+03;50.051;300;20;0.1761E+03;0.1486E+03;0.537;1.71;00:36:31.500
237.82;0.760;0.0971E+03;50.050;300;20;0.1806E+03;0.1523E+03;0.537;1.71;00:36:31.600
237.83;0.758;0.0965E+03;50.051;300;20;0.1802E+03;0.1522E+03;0.536;1.71;00:36:31.700
237.83;0.752;0.0958E+03;50.053;300;20;0.1788E+03;0.1510E+03;0.536;1.70;00:36:31.800
237.83;0.762;0.0971E+03;50.053;300;20;0.1813E+03;0.1531E+03;0.536;1.71;00:36:31.900
237.85;0.743;0.0946E+03;50.053;300;20;0.1767E+03;0.1492E+03;0.536;1.69;00:36:32.000
237.82;0.749;0.0954E+03;50.054;300;20;0.1782E+03;0.1505E+03;0.535;1.69;00:36:32.100
237.84;0.751;0.0956E+03;50.053;300;20;0.1787E+03;0.1509E+03;0.535;1.70;00:36:32.200
237.85;0.752;0.0957E+03;50.052;300;20;0.1788E+03;0.1510E+03;0.535;1.70;00:36:32.300
237.85;0.755;0.0961E+03;50.052;300;20;0.1796E+03;0.1517E+03;0.535;1.70;00:36:32.400
237.88;0.753;0.0958E+03;50.051;300;20;0.1790E+03;0.1512E+03;0.535;1.69;00:36:32.500
237.91;0.759;0.0967E+03;50.050;300;20;0.1805E+03;0.1525E+03;0.535;1.69;00:36:32.600
237.89;0.749;0.0952E+03;50.049;300;20;0.1782E+03;0.1507E+03;0.534;1.66;00:36:32.700
237.88;0.760;0.0967E+03;50.048;300;20;0.1808E+03;0.1528E+03;0.535;1.68;00:36:32.800
237.89;0.746;0.0949E+03;50.049;300;20;0.1775E+03;0.1500E+03;0.535;1.69;00:36:32.900
237.88;0.754;0.0960E+03;50.049;300;20;0.1793E+03;0.1514E+03;0.535;1.67;00:36:33.000
237.91;0.748;0.0953E+03;50.050;300;20;0.1780E+03;0.1503E+03;0.535;1.68;00:36:33.100
237.89;0.756;0.0962E+03;50.051;300;20;0.1799E+03;0.1520E+03;0.535;1.67;00:36:33.200
237.90;0.743;0.0946E+03;50.051;300;20;0.1768E+03;0.1494E+03;0.535;1.69;00:36:33.300
237.90;0.759;0.0966E+03;50.052;300;20;0.1806E+03;0.1526E+03;0.535;1.69;00:36:33.400
237.94;0.746;0.0951E+03;50.054;300;20;0.1776E+03;0.1500E+03;0.536;1.68;00:36:33.500
237.93;0.758;0.0965E+03;50.054;300;20;0.1804E+03;0.1524E+03;0.535;1.67;00:36:33.600
237.97;0.754;0.0960E+03;50.053;300;20;0.1793E+03;0.1514E+03;0.536;1.69;00:36:33.700
237.80;1.498;0.1884E+03;50.053;300;20;0.3563E+03;0.3024E+03;0.529;1.73;00:36:33.800
237.82;1.395;0.1766E+03;50.054;300;20;0.3316E+03;0.2807E+03;0.532;1.74;00:36:33.900
237.82;1.284;0.1621E+03;50.053;300;20;0.3054E+03;0.2588E+03;0.531;1.71;00:36:34.000
