#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329
#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Start Time;00:25:32
#Stop Time;00:26:14
#Actual Count;423         
URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
237.89;0.749;0.0960E+03;49.891;300;20;0.1782E+03;0.1501E+03;0.539;1.78;00:25:32.000
237.86;0.743;0.0952E+03;49.891;300;20;0.1768E+03;0.1490E+03;0.538;1.78;00:25:32.100
237.87;0.751;0.0960E+03;49.891;300;20;0.1786E+03;0.1506E+03;0.538;1.78;00:25:32.200
237.88;0.747;0.0958E+03;49.890;300;20;0.1778E+03;0.1497E+03;0.539;1.78;00:25:32.300
237.86;0.745;0.0955E+03;49.890;300;20;0.1772E+03;0.1493E+03;0.539;1.79;00:25:32.400
237.89;0.748;0.0961E+03;49.891;300;20;0.1779E+03;0.1497E+03;0.540;1.78;00:25:32.500
237.89;0.745;0.0956E+03;49.890;300;20;0.1773E+03;0.1493E+03;0.539;1.77;00:25:32.600
237.88;0.757;0.0971E+03;49.890;300;20;0.1801E+03;0.1517E+03;0.539;1.76;00:25:32.700
237.89;0.751;0.0963E+03;49.889;300;20;0.1787E+03;0.1505E+03;0.539;1.77;00:25:32.800
237.88;0.749;0.0961E+03;49.888;300;20;0.1782E+03;0.1501E+03;0.539;1.79;00:25:32.900
237.89;0.739;0.0949E+03;49.888;300;20;0.1759E+03;0.1481E+03;0.540;1.76;00:25:33.000
237.88;0.749;0.0961E+03;49.888;300;20;0.1782E+03;0.1501E+03;0.539;1.78;00:25:33.100
237.88;0.747;0.0957E+03;49.888;300;20;0.1778E+03;0.1498E+03;0.538;1.77;00:25:33.200
237.86;0.746;0.0955E+03;49.888;300;20;0.1774E+03;0.1495E+03;0.538;1.78;00:25:33.300
237.85;0.743;0.0954E+03;49.888;300;20;0.1768E+03;0.1489E+03;0.540;1.78;00:25:33.400
237.86;0.750;0.0962E+03;49.886;300;20;0.1784E+03;0.1503E+03;0.539;1.79;00:25:33.500
237.87;0.736;0.0944E+03;49.887;300;20;0.1750E+03;0.1473E+03;0.539;1.78;00:25:33.600
237.89;0.750;0.0961E+03;49.887;300;20;0.1784E+03;0.1503E+03;0.539;1.77;00:25:33.700
237.78;1.426;0.1695E+03;49.886;300;20;0.3391E+03;0.2937E+03;0.500;1.81;00:25:33.800
237.19;3.975;0.5439E+03;49.888;300;20;0.9427E+03;0.7700E+03;0.577;2.06;00:25:33.900
237.25;3.865;0.5299E+03;49.887;300;20;0.9169E+03;0.7482E+03;0.578;1.91;00:25:34.000
237.89;0.595;0.0761E+03;49.887;300;20;0.1416E+03;0.1194E+03;0.537;1.78;00:25:34.100
237.87;0.593;0.0758E+03;49.888;300;20;0.1411E+03;0.1189E+03;0.537;1.77;00:25:34.200
237.88;0.592;0.0758E+03;49.888;300;20;0.1408E+03;0.1187E+03;0.538;1.77;00:25:34.300
237.87;0.592;0.0757E+03;49.888;300;20;0.1408E+03;0.1187E+03;0.538;1.76;00:25:34.400
237.89;0.742;0.0951E+03;49.888;300;20;0.1765E+03;0.1487E+03;0.539;1.80;00:25:34.500
237.91;0.752;0.0964E+03;49.889;300;20;0.1790E+03;0.1508E+03;0.538;1.80;00:25:34.600
237.91;0.743;0.0954E+03;49.888;300;20;0.1767E+03;0.1488E+03;0.540;1.78;00:25:34.700
237.95;0.757;0.0970E+03;49.889;300;20;0.1802E+03;0.1519E+03;0.538;1.78;00:25:34.800
237.95;0.745;0.0956E+03;49.888;300;20;0.1773E+03;0.1493E+03;0.539;1.79;00:25:34.900
237.96;0.749;0.0959E+03;49.889;300;20;0.1781E+03;0.1501E+03;0.538;1.76;00:25:35.000
237.94;0.754;0.0967E+03;49.888;300;20;0.1793E+03;0.1510E+03;0.539;1.79;00:25:35.100
237.94;0.742;0.0950E+03;49.888;300;20;0.1765E+03;0.1488E+03;0.538;1.80;00:25:35.200
237.53;3.032;0.3940E+03;49.888;300;20;0.7202E+03;0.6029E+03;0.547;1.88;00:25:35.300
237.21;4.321;0.6044E+03;49.888;300;20;1.0249E+03;0.8277E+03;0.590;2.07;00:25:35.400
237.57;2.482;0.3157E+03;49.888;300;20;0.5896E+03;0.4980E+03;0.535;1.87;00:25:35.500
237.99;0.610;0.0783E+03;49.887;300;20;0.1452E+03;0.1223E+03;0.539;1.77;00:25:35.600
237.94;0.595;0.0760E+03;49.887;300;20;0.1416E+03;0.1194E+03;0.537;1.77;00:25:35.700
237.95;0.591;0.0755E+03;49.888;300;20;0.1405E+03;0.1185E+03;0.537;1.77;00:25:35.800
237.96;0.594;0.0760E+03;49.888;300;20;0.1415E+03;0.1193E+03;0.537;1.76;00:25:35.900
237.92;0.695;0.0887E+03;49.887;300;20;0.1652E+03;0.1394E+03;0.537;1.77;00:25:36.000
237.91;0.753;0.0964E+03;49.887;300;20;0.1792E+03;0.1511E+03;0.538;1.79;00:25:36.100
237.93;0.743;0.0952E+03;49.886;300;20;0.1767E+03;0.1489E+03;0.538;1.81;00:25:36.200
237.93;0.749;0.0958E+03;49.884;300;20;0.1782E+03;0.1502E+03;0.538;1.81;00:25:36.300
237.94;0.749;0.0958E+03;49.885;300;20;0.1781E+03;0.1502E+03;0.538;1.80;00:25:36.400
237.91;0.753;0.0965E+03;49.884;300;20;0.1792E+03;0.1510E+03;0.539;1.79;00:25:36.500
237.92;0.745;0.0955E+03;49.886;300;20;0.1772E+03;0.1493E+03;0.539;1.80;00:25:36.600
237.93;0.748;0.0959E+03;49.886;300;20;0.1780E+03;0.1500E+03;0.539;1.80;00:25:36.700
237.87;1.195;0.1439E+03;49.886;300;20;0.2842E+03;0.2451E+03;0.506;1.86;00:25:36.800
237.39;3.367;0.4559E+03;49.886;300;20;0.7994E+03;0.6566E+03;0.570;2.03;00:25:36.900
237.61;2.307;0.2975E+03;49.887;300;20;0.5481E+03;0.4604E+03;0.543;1.93;00:25:37.000
237.90;0.636;0.0813E+03;49.886;300;20;0.1513E+03;0.1276E+03;0.537;1.79;00:25:37.100
237.90;0.595;0.0761E+03;49.887;300;20;0.1415E+03;0.1194E+03;0.537;1.78;00:25:37.200
237.91;0.593;0.0758E+03;49.888;300;20;0.1411E+03;0.1190E+03;0.537;1.78;00:25:37.300
237.90;0.670;0.0855E+03;49.888;300;20;0.1594E+03;0.1346E+03;0.537;1.75;00:25:37.400
237.86;0.751;0.0961E+03;49.890;300;20;0.1787E+03;0.1506E+03;0.538;1.78;00:25:37.500
237.93;0.757;0.0969E+03;49.890;300;20;0.1802E+03;0.1519E+03;0.538;1.78;00:25:37.600
237.92;0.740;0.0949E+03;49.888;300;20;0.1760E+03;0.1483E+03;0.539;1.76;00:25:37.700
237.93;0.757;0.0969E+03;49.888;300;20;0.1802E+03;0.1519E+03;0.538;1.77;00:25:37.800
237.93;0.759;0.0969E+03;49.888;300;20;0.1805E+03;0.1523E+03;0.537;1.77;00:25:37.900
237.91;0.740;0.0946E+03;49.888;300;20;0.1762E+03;0.1486E+03;0.537;1.78;00:25:38.000
237.91;0.756;0.0968E+03;49.889;300;20;0.1799E+03;0.1516E+03;0.538;1.79;00:25:38.100
237.90;0.755;0.0965E+03;49.888;300;20;0.1797E+03;0.1516E+03;0.537;1.78;00:25:38.200
237.67;1.986;0.2425E+03;49.888;300;20;0.4721E+03;0.4050E+03;0.514;1.87;00:25:38.300
237.26;3.850;0.5325E+03;49.888;300;20;0.9134E+03;0.7421E+03;0.583;1.97;00:25:38.400
237.75;1.623;0.1888E+03;49.888;300;20;0.3860E+03;0.3366E+03;0.489;1.88;00:25:38.500
237.91;0.595;0.0760E+03;49.888;300;20;0.1415E+03;0.1194E+03;0.537;1.76;00:25:38.600
237.90;0.595;0.0758E+03;49.889;300;20;0.1416E+03;0.1196E+03;0.536;1.76;00:25:38.700
237.91;0.596;0.0761E+03;49.888;300;20;0.1418E+03;0.1197E+03;0.536;1.75;00:25:38.800
237.88;0.724;0.0923E+03;49.887;300;20;0.1722E+03;0.1454E+03;0.536;1.78;00:25:38.900
237.93;0.758;0.0968E+03;49.887;300;20;0.1802E+03;0.1520E+03;0.537;1.78;00:25:39.000
237.93;0.741;0.0947E+03;49.887;300;20;0.1764E+03;0.1488E+03;0.537;1.78;00:25:39.100
237.89;0.753;0.0961E+03;49.886;300;20;0.1791E+03;0.1512E+03;0.536;1.77;00:25:39.200
237.88;0.743;0.0948E+03;49.886;300;20;0.1768E+03;0.1492E+03;0.536;1.78;00:25:39.300
237.87;0.744;0.0950E+03;49.885;300;20;0.1770E+03;0.1493E+03;0.537;1.78;00:25:39.400
237.81;0.743;0.0949E+03;49.883;300;20;0.1766E+03;0.1489E+03;0.537;1.79;00:25:39.500
237.89;0.757;0.0967E+03;49.882;300;20;0.1801E+03;0.1519E+03;0.537;1.78;00:25:39.600
237.85;0.769;0.0978E+03;49.881;300;20;0.1829E+03;0.1545E+03;0.535;1.76;00:25:39.700
237.63;1.971;0.2417E+03;49.881;300;20;0.4683E+03;0.4011E+03;0.516;1.83;00:25:39.800
237.36;3.338;0.4531E+03;49.883;300;20;0.7923E+03;0.6499E+03;0.572;1.94;00:25:39.900
237.54;2.439;0.3203E+03;49.883;300;20;0.5793E+03;0.4826E+03;0.553;1.85;00:25:40.000
237.89;0.627;0.0801E+03;49.883;300;20;0.1493E+03;0.1259E+03;0.537;1.77;00:25:40.100
