#Device;NPA101
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.002-02.430-03.730
#Serial No.;000100329
#Mode;Unlimited
#Logging Interval[s];0.100
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Start Time;00:26:25
#Stop Time;00:27:09
#Actual Count;450         
URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
237.77;0.751;0.0961E+03;49.864;300;20;0.1785E+03;0.1503E+03;0.539;1.79;00:26:25.000
237.78;0.747;0.0958E+03;49.864;300;20;0.1776E+03;0.1495E+03;0.540;1.80;00:26:25.100
237.78;0.756;0.0967E+03;49.865;300;20;0.1798E+03;0.1515E+03;0.538;1.81;00:26:25.200
237.79;0.736;0.0943E+03;49.866;300;20;0.1750E+03;0.1473E+03;0.539;1.80;00:26:25.300
237.77;0.747;0.0955E+03;49.866;300;20;0.1775E+03;0.1497E+03;0.538;1.80;00:26:25.400
237.76;0.755;0.0966E+03;49.865;300;20;0.1796E+03;0.1514E+03;0.538;1.80;00:26:25.500
237.79;0.756;0.0966E+03;49.867;300;20;0.1799E+03;0.1517E+03;0.537;1.82;00:26:25.600
237.77;0.740;0.0946E+03;49.869;300;20;0.1759E+03;0.1483E+03;0.538;1.80;00:26:25.700
237.73;0.741;0.0946E+03;49.869;300;20;0.1761E+03;0.1485E+03;0.537;1.82;00:26:25.800
237.75;0.752;0.0961E+03;49.870;300;20;0.1787E+03;0.1507E+03;0.538;1.81;00:26:25.900
237.72;0.744;0.0950E+03;49.870;300;20;0.1768E+03;0.1491E+03;0.537;1.81;00:26:26.000
237.71;0.751;0.0961E+03;49.870;300;20;0.1784E+03;0.1504E+03;0.539;1.82;00:26:26.100
237.73;0.742;0.0950E+03;49.870;300;20;0.1763E+03;0.1485E+03;0.539;1.84;00:26:26.200
237.72;0.745;0.0954E+03;49.870;300;20;0.1771E+03;0.1493E+03;0.538;1.81;00:26:26.300
237.79;0.753;0.0962E+03;49.870;300;20;0.1791E+03;0.1510E+03;0.537;1.79;00:26:26.400
237.77;0.748;0.0957E+03;49.871;300;20;0.1780E+03;0.1500E+03;0.538;1.76;00:26:26.500
237.75;0.738;0.0944E+03;49.871;300;20;0.1753E+03;0.1478E+03;0.538;1.79;00:26:26.600
237.77;0.750;0.0959E+03;49.871;300;20;0.1783E+03;0.1503E+03;0.538;1.77;00:26:26.700
237.75;0.744;0.0952E+03;49.872;300;20;0.1768E+03;0.1490E+03;0.539;1.78;00:26:26.800
237.75;0.746;0.0954E+03;49.872;300;20;0.1773E+03;0.1494E+03;0.538;1.78;00:26:26.900
237.75;0.749;0.0959E+03;49.872;300;20;0.1780E+03;0.1500E+03;0.539;1.79;00:26:27.000
237.74;0.737;0.0943E+03;49.872;300;20;0.1751E+03;0.1475E+03;0.539;1.78;00:26:27.100
237.75;0.740;0.0949E+03;49.873;300;20;0.1760E+03;0.1483E+03;0.539;1.80;00:26:27.200
237.71;0.741;0.0948E+03;49.873;300;20;0.1761E+03;0.1484E+03;0.538;1.80;00:26:27.300
237.70;0.753;0.0963E+03;49.874;300;20;0.1791E+03;0.1509E+03;0.538;1.81;00:26:27.400
237.71;0.738;0.0945E+03;49.874;300;20;0.1753E+03;0.1477E+03;0.539;1.81;00:26:27.500
237.75;0.755;0.0968E+03;49.874;300;20;0.1795E+03;0.1512E+03;0.539;1.81;00:26:27.600
237.73;0.738;0.0945E+03;49.873;300;20;0.1755E+03;0.1479E+03;0.539;1.79;00:26:27.700
237.73;0.748;0.0957E+03;49.873;300;20;0.1779E+03;0.1500E+03;0.538;1.78;00:26:27.800
237.73;0.758;0.0972E+03;49.873;300;20;0.1801E+03;0.1517E+03;0.539;1.77;00:26:27.900
237.73;0.753;0.0962E+03;49.872;300;20;0.1791E+03;0.1510E+03;0.537;1.78;00:26:28.000
237.72;0.741;0.0948E+03;49.873;300;20;0.1761E+03;0.1484E+03;0.538;1.76;00:26:28.100
237.72;0.752;0.0960E+03;49.872;300;20;0.1787E+03;0.1507E+03;0.537;1.76;00:26:28.200
237.72;0.750;0.0960E+03;49.871;300;20;0.1783E+03;0.1503E+03;0.538;1.76;00:26:28.300
237.76;0.748;0.0956E+03;49.871;300;20;0.1779E+03;0.1501E+03;0.537;1.77;00:26:28.400
237.69;0.736;0.0939E+03;49.872;300;20;0.1748E+03;0.1475E+03;0.537;1.78;00:26:28.500
237.67;0.746;0.0953E+03;49.872;300;20;0.1773E+03;0.1494E+03;0.538;1.79;00:26:28.600
237.71;0.752;0.0961E+03;49.871;300;20;0.1787E+03;0.1506E+03;0.538;1.78;00:26:28.700
237.69;0.745;0.0954E+03;49.872;300;20;0.1772E+03;0.1493E+03;0.538;1.81;00:26:28.800
237.70;0.754;0.0965E+03;49.873;300;20;0.1793E+03;0.1511E+03;0.538;1.81;00:26:28.900
237.70;0.743;0.0950E+03;49.872;300;20;0.1766E+03;0.1489E+03;0.538;1.82;00:26:29.000
237.70;0.746;0.0955E+03;49.874;300;20;0.1774E+03;0.1495E+03;0.538;1.81;00:26:29.100
237.67;0.744;0.0951E+03;49.874;300;20;0.1768E+03;0.1490E+03;0.538;1.81;00:26:29.200
237.70;0.752;0.0962E+03;49.876;300;20;0.1787E+03;0.1506E+03;0.538;1.79;00:26:29.300
237.70;0.751;0.0960E+03;49.876;300;20;0.1785E+03;0.1504E+03;0.538;1.78;00:26:29.400
237.70;0.748;0.0957E+03;49.875;300;20;0.1778E+03;0.1499E+03;0.538;1.77;00:26:29.500
237.72;0.747;0.0956E+03;49.876;300;20;0.1777E+03;0.1498E+03;0.538;1.78;00:26:29.600
237.70;0.744;0.0950E+03;49.876;300;20;0.1770E+03;0.1493E+03;0.537;1.76;00:26:29.700
237.70;0.755;0.0964E+03;49.876;300;20;0.1794E+03;0.1513E+03;0.537;1.76;00:26:29.800
237.72;0.742;0.0947E+03;49.875;300;20;0.1763E+03;0.1487E+03;0.537;1.78;00:26:29.900
237.75;0.754;0.0962E+03;49.876;300;20;0.1792E+03;0.1512E+03;0.537;1.78;00:26:30.000
237.60;1.871;0.2246E+03;49.875;300;20;0.4444E+03;0.3835E+03;0.505;1.83;00:26:30.100
237.07;4.310;0.5991E+03;49.876;300;20;1.0219E+03;0.8278E+03;0.586;2.05;00:26:30.200
237.24;3.352;0.4547E+03;49.875;300;20;0.7951E+03;0.6523E+03;0.572;1.95;00:26:30.300
237.73;0.595;0.0759E+03;49.874;300;20;0.1415E+03;0.1195E+03;0.536;1.80;00:26:30.400
237.70;0.594;0.0758E+03;49.875;300;20;0.1411E+03;0.1190E+03;0.537;1.80;00:26:30.500
237.75;0.595;0.0760E+03;49.876;300;20;0.1414E+03;0.1192E+03;0.537;1.81;00:26:30.600
237.76;0.595;0.0760E+03;49.876;300;20;0.1415E+03;0.1193E+03;0.537;1.79;00:26:30.700
237.72;0.609;0.0778E+03;49.876;300;20;0.1448E+03;0.1221E+03;0.537;1.80;00:26:30.800
237.72;0.747;0.0955E+03;49.876;300;20;0.1775E+03;0.1496E+03;0.538;1.78;00:26:30.900
237.72;0.753;0.0963E+03;49.874;300;20;0.1789E+03;0.1508E+03;0.538;1.81;00:26:31.000
237.74;0.757;0.0968E+03;49.875;300;20;0.1801E+03;0.1518E+03;0.538;1.78;00:26:31.100
237.74;0.747;0.0957E+03;49.874;300;20;0.1777E+03;0.1497E+03;0.538;1.80;00:26:31.200
237.68;0.758;0.0970E+03;49.873;300;20;0.1802E+03;0.1519E+03;0.538;1.79;00:26:31.300
237.70;0.743;0.0952E+03;49.874;300;20;0.1767E+03;0.1489E+03;0.539;1.78;00:26:31.400
237.70;0.755;0.0966E+03;49.872;300;20;0.1795E+03;0.1513E+03;0.538;1.79;00:26:31.500
237.60;1.158;0.1385E+03;49.872;300;20;0.2752E+03;0.2378E+03;0.503;1.83;00:26:31.600
237.03;4.015;0.5521E+03;49.871;300;20;0.9518E+03;0.7753E+03;0.580;2.03;00:26:31.700
237.44;2.006;0.2389E+03;49.871;300;20;0.4762E+03;0.4120E+03;0.502;1.92;00:26:31.800
237.69;0.598;0.0763E+03;49.873;300;20;0.1422E+03;0.1199E+03;0.537;1.81;00:26:31.900
237.70;0.593;0.0756E+03;49.875;300;20;0.1409E+03;0.1188E+03;0.537;1.81;00:26:32.000
237.73;0.594;0.0759E+03;49.875;300;20;0.1411E+03;0.1190E+03;0.538;1.82;00:26:32.100
237.74;0.592;0.0759E+03;49.876;300;20;0.1408E+03;0.1185E+03;0.539;1.80;00:26:32.200
237.70;0.679;0.0869E+03;49.876;300;20;0.1613E+03;0.1359E+03;0.539;1.80;00:26:32.300
237.71;0.748;0.0960E+03;49.875;300;20;0.1778E+03;0.1497E+03;0.540;1.79;00:26:32.400
237.66;0.744;0.0954E+03;49.875;300;20;0.1769E+03;0.1489E+03;0.539;1.77;00:26:32.500
237.67;0.749;0.0959E+03;49.875;300;20;0.1780E+03;0.1500E+03;0.539;1.79;00:26:32.600
237.68;0.741;0.0951E+03;49.875;300;20;0.1762E+03;0.1484E+03;0.540;1.79;00:26:32.700
237.67;0.750;0.0959E+03;49.876;300;20;0.1782E+03;0.1502E+03;0.538;1.78;00:26:32.800
237.73;0.742;0.0951E+03;49.876;300;20;0.1764E+03;0.1486E+03;0.539;1.79;00:26:32.900
237.73;0.748;0.0958E+03;49.875;300;20;0.1779E+03;0.1499E+03;0.539;1.79;00:26:33.000
237.60;1.539;0.1838E+03;49.875;300;20;0.3658E+03;0.3162E+03;0.503;1.84;00:26:33.100
237.12;3.682;0.5034E+03;49.875;300;20;0.8731E+03;0.7134E+03;0.577;1.99;00:26:33.200
237.51;1.948;0.2390E+03;49.877;300;20;0.4626E+03;0.3961E+03;0.517;1.93;00:26:33.300
237.76;0.599;0.0768E+03;49.877;300;20;0.1424E+03;0.1200E+03;0.539;1.79;00:26:33.400
237.74;0.593;0.0758E+03;49.878;300;20;0.1410E+03;0.1189E+03;0.538;1.78;00:26:33.500
237.67;0.592;0.0756E+03;49.877;300;20;0.1407E+03;0.1186E+03;0.538;1.78;00:26:33.600
237.73;0.675;0.0862E+03;49.876;300;20;0.1606E+03;0.1355E+03;0.537;1.80;00:26:33.700
237.70;0.735;0.0942E+03;49.875;300;20;0.1747E+03;0.1471E+03;0.539;1.80;00:26:33.800
237.72;0.753;0.0964E+03;49.874;300;20;0.1789E+03;0.1507E+03;0.539;1.79;00:26:33.900
237.75;0.755;0.0969E+03;49.873;300;20;0.1796E+03;0.1512E+03;0.540;1.80;00:26:34.000
237.75;0.756;0.0969E+03;49.873;300;20;0.1797E+03;0.1513E+03;0.539;1.77;00:26:34.100
237.75;0.743;0.0952E+03;49.872;300;20;0.1767E+03;0.1489E+03;0.539;1.84;00:26:34.200
237.74;0.751;0.0961E+03;49.871;300;20;0.1784E+03;0.1504E+03;0.538;1.78;00:26:34.300
237.73;0.754;0.0965E+03;49.871;300;20;0.1791E+03;0.1509E+03;0.538;1.77;00:26:34.400
237.68;0.822;0.1038E+03;49.871;300;20;0.1953E+03;0.1655E+03;0.532;1.80;00:26:34.500
237.42;2.508;0.3180E+03;49.871;300;20;0.5954E+03;0.5034E+03;0.534;1.87;00:26:34.600
237.15;3.729;0.5137E+03;49.872;300;20;0.8844E+03;0.7200E+03;0.581;1.97;00:26:34.700
237.35;2.598;0.3448E+03;49.873;300;20;0.6166E+03;0.5112E+03;0.559;1.93;00:26:34.800
237.79;0.595;0.0760E+03;49.873;300;20;0.1414E+03;0.1192E+03;0.538;1.81;00:26:34.900
237.79;0.593;0.0758E+03;49.872;300;20;0.1410E+03;0.1189E+03;0.538;1.83;00:26:35.000
237.80;0.591;0.0757E+03;49.873;300;20;0.1405E+03;0.1184E+03;0.539;1.82;00:26:35.100
237.80;0.614;0.0785E+03;49.873;300;20;0.1461E+03;0.1231E+03;0.538;1.80;00:26:35.200
237.71;0.736;0.0943E+03;49.873;300;20;0.1749E+03;0.1473E+03;0.539;1.81;00:26:35.300
237.74;0.752;0.0964E+03;49.873;300;20;0.1788E+03;0.1506E+03;0.539;1.80;00:26:35.400
237.73;0.744;0.0955E+03;49.872;300;20;0.1769E+03;0.1490E+03;0.540;1.78;00:26:35.500
237.70;0.741;0.0950E+03;49.873;300;20;0.1761E+03;0.1483E+03;0.539;1.79;00:26:35.600
237.73;0.739;0.0948E+03;49.874;300;20;0.1757E+03;0.1480E+03;0.539;1.77;00:26:35.700
237.71;0.745;0.0954E+03;49.873;300;20;0.1772E+03;0.1493E+03;0.539;1.76;00:26:35.800
237.71;0.749;0.0960E+03;49.874;300;20;0.1781E+03;0.1500E+03;0.539;1.77;00:26:35.900
237.70;0.736;0.0945E+03;49.873;300;20;0.1750E+03;0.1474E+03;0.540;1.78;00:26:36.000
237.41;2.398;0.3039E+03;49.874;300;20;0.5693E+03;0.4814E+03;0.534;1.84;00:26:36.100
237.22;3.156;0.4254E+03;49.875;300;20;0.7486E+03;0.6160E+03;0.568;1.98;00:26:36.200
237.38;2.326;0.3057E+03;49.875;300;20;0.5522E+03;0.4599E+03;0.554;1.91;00:26:36.300
237.50;1.706;0.2071E+03;49.875;300;20;0.4051E+03;0.3482E+03;0.511;1.80;00:26:36.400
237.66;0.593;0.0759E+03;49.875;300;20;0.1410E+03;0.1188E+03;0.538;1.79;00:26:36.500
237.72;0.595;0.0763E+03;49.874;300;20;0.1414E+03;0.1190E+03;0.540;1.80;00:26:36.600
